"Subtask_ID","Task_IDRef","Name","Description","Inactive_AsOf"
1,1,"*","empty subtask for task 1A",
2,2,"*","empty subtask for task 2D",
3,2,"SD",,
4,3,"*","empty subtask for task 3A",
5,3,"TM",,
6,4,"*","empty subtask for task 3B",
7,4,"AD","General Administration",
8,4,"CN","Contests",
9,4,"EV","Events",
10,4,"PR","Promotion",
11,4,"PT","Partnership Coordination",
12,4,"SP","SchoolPool",
13,4,"TA","TAM Related Admin.",
14,4,"TM","SR2S Team",
15,5,"*","empty subtask for task 6A",
16,6,"*","empty subtask for Program",
17,7,"*","empty subtask for 2A",
18,8,"*","empty subtask for 1B",
19,9,"*","empty subtask for 2B",
20,10,"*","empty subtask for 2C",
21,11,"*","empty subtask for 2E",
22,12,"*","empty subtask for 3C",
23,13,"*","empty subtask for 4A",
24,14,"*","empty subtask for 4B",
25,15,"*","empty subtask for 4C",
26,16,"*","empty subtask for 5A",
27,4,"SD","Systems Development",
28,4,"SC","Scheduling",
29,4,"CD","Curriculum Development",
30,4,"PD","Program Development",
31,4,"NW","Newsletter",
32,4,"CT","Classroom Teaching",
33,4,"FT","Field Training",
34,4,"SU","Surveys",
35,14,"TP","Develop Template",
36,14,"PL","Develop Plans",
37,4,"TN","Team/School Communications",
38,4,"PL","Plans",
39,4,"PC","Curriculum",
40,13,"TM","SR2S Team Meetings",
41,4,"WK","Walkabout",
