"Action_ID","Subtask_IDRef","Name","Description","Inactive_AsOf"
1,7,"*","Michael Feliciano office/email set-up",
2,7,"*","Filemaker database transition, and TAM insurance endorsmts coord",
3,7,"*","Filemaker database transition, Anti-virus program install, website updates",
4,7,"*","website updates and staff technical support",
5,7,"*","staff technical support and Filemaker database transition meeting",
6,7,"*","reponding to inquiries from the last two months from schools, volunteers, and other agencies requiring information.",
7,14,"*","reponding to inquiries from the last two months from schools, volunteers, and other agencies requiring information.",
8,13,"*","Inventory office supplies, move materials",
9,13,"*","Inventory materials,",
10,11,"*","Set up parks and rec cycling/ maint workshops, set up safety training 9/24",
11,31,"*","Write article on canal for newsletter",
12,14,"*","Assist with TL Training",
13,28,"*","Create New class calender",
14,7,"*","Survey new staff, set up personal calender, fill out timesheets",
15,7,"*","Staff Mtg.,",
16,9,"*","Reschelule Bacich Bike Maint Class",
17,28,"*","Schedule staff for classes",
18,13,"*","Inventory materials",
19,13,"*","Insurance Endorsements pages coordination, new timesheet format and billing codes development",
20,7,"*","Michael Feliciano orientation and employee forms coordination",
21,13,"*","timesheet templates revisions, MOA revisions, high school projetcs and Biketoberfest parade planning coordination with staff",
22,13,"*","TAM mtg re: MOA, August Team Leader room rental coordination, MOA edits per mtg., Insurance Endorsements pages coordination",
23,13,"*","MOA edits, timesheet template and billing codes refinement",
24,7,"*","contract review and coordination",
25,13,"*","revised timesheet template with Wendi",
26,14,"*","SCHOOL/TEAM COMMUNICATIONS",
27,9,"*","WALK TO SCHOOL WEEK PREP",
28,30,"*","REVIEWING YEARS PROJECTS",
29,27,"*","INVENTORY/DATABASE",
30,29,"*","CURRICULUM REVIEW",
31,9,"*","WALK TO SCHOOL WEEK",
32,28,"*","ELEMENTARY SAFETY CLASSES",
33,7,"*","NEW TEACHERS LOGISTICS",
34,11,"*","NEXT GENERATION/YOUTH",
35,13,"*","TIMESHEETS",
36,28,"*","WALK TO SCHOOL DAY PREP CLASSES",
37,27,"*","DATABASE",
38,30,"*","NEXT GENERATION MEETING",
39,29,"*","NEW HIGH SCHOOL CLASSES",
40,29,"*","MATERIALS FOR SAFETY ART CLASS",
41,9,"*","OUTREACH MATERIALS FOR WALK TO SCHOOL",
42,9,"*","WALK TO SCHOOL DAY SUPPLIES",
43,9,"*","PARTNERSHIP MEETING ABOUT PARADE",
44,30,"*","MCC CURRICULUM RESEARCH",
45,28,"*","CLASS SCHEDULING",
46,13,"*","INVENTORY CLEAN UP",
47,29,"*","CURRICULUM GUIDE EDITS",
48,9,"*","MATERIALSSUPPLIES",
49,14,"*","TEAM LEADER MEETING",
50,29,"*","RESEARCH ON MIDDLE SCHOOL OUTREACH",
51,28,"*","ELEMENTARY SCHOOL",
52,9,"*","PARADE LEGALITY DOCUMENTS",
53,37,"*","TEAM/SCHOOL COMMUNICATIONS",
54,28,"*","SPECIAL EVENT CLASSES",
55,29,"*","REVIEW CURRICULUM",
56,7,"*","STAFF MEETING",
57,11,"*","NEXT GENERATION",
58,28,"*","EXTRA TEACHER COORDINATION/CLASSES",
59,9,"*","PARADE INVITES",
60,27,"*","Training in program procedures, details on schools, team leaders, elements of the program, while setting up new filing systems.",
61,14,"*","STAFF MTG, DB MTG, PREP FOR TEAM LEADER TRAINING",
62,27,"*","DEVELOP STORAGE FACILITY FOR MATERIALS",
63,7,"*","TEAM LEADER FORMS, W2SD AND TRAINING PREP",
64,27,"*","developing database framework",
