"TimeLog_ID","Action_IDRef","Person_IDRef","LogDate","Hours"
1,1,4,2005-7-31 0:00:00,1.00
2,2,4,2005-8-1 0:00:00,0.25
3,2,4,2005-8-5 0:00:00,0.50
4,3,4,2005-8-9 0:00:00,2.50
5,3,4,2005-8-10 0:00:00,1.00
6,3,4,2005-8-11 0:00:00,1.25
7,3,4,2005-8-12 0:00:00,0.50
8,4,4,2005-8-16 0:00:00,0.25
9,4,4,2005-8-18 0:00:00,2.00
10,4,4,2005-8-19 0:00:00,0.50
11,5,4,2005-8-23 0:00:00,1.25
12,5,4,2005-8-25 0:00:00,0.50
13,5,4,2005-8-26 0:00:00,0.75
14,6,8,2005-8-15 0:00:00,3.50
15,7,8,2005-8-16 0:00:00,6.00
16,8,8,2005-8-17 0:00:00,6.75
17,8,8,2005-8-18 0:00:00,3.75
18,9,8,2005-8-23 0:00:00,3.00
19,9,8,2005-8-24 0:00:00,1.00
20,9,8,2005-8-25 0:00:00,1.50
21,10,8,2005-8-23 0:00:00,2.00
22,10,8,2005-8-25 0:00:00,3.00
23,11,8,2005-8-24 0:00:00,2.00
24,12,8,2005-8-27 0:00:00,6.00
25,13,8,2005-8-25 0:00:00,1.50
26,14,8,2005-8-29 0:00:00,2.00
27,14,8,2005-8-31 0:00:00,1.00
28,15,8,2005-8-31 0:00:00,2.00
29,16,8,2005-8-31 0:00:00,1.00
30,17,8,2005-8-31 0:00:00,2.00
31,18,8,2005-8-29 0:00:00,4.00
32,19,3,2005-7-29 0:00:00,3.75
33,19,3,2005-7-30 0:00:00,1.00
34,19,3,2005-7-31 0:00:00,2.00
35,20,3,2005-8-1 0:00:00,2.00
36,20,3,2005-8-2 0:00:00,1.00
37,21,3,2005-8-3 0:00:00,2.50
38,21,3,2005-8-4 0:00:00,2.50
39,22,3,2005-8-8 0:00:00,3.00
40,22,3,2005-8-9 0:00:00,1.00
41,22,3,2005-8-10 0:00:00,0.75
42,22,3,2005-8-11 0:00:00,1.00
43,23,3,2005-8-17 0:00:00,0.25
44,23,3,2005-8-18 0:00:00,2.25
45,24,3,2005-8-22 0:00:00,1.75
46,25,3,2005-8-23 0:00:00,0.75
47,26,7,2005-8-15 0:00:00,6.00
48,27,7,2005-8-15 0:00:00,1.75
49,28,7,2005-8-16 0:00:00,5.75
50,29,7,2005-8-17 0:00:00,3.00
51,30,7,2005-8-17 0:00:00,2.50
52,29,7,2005-8-17 0:00:00,2.00
53,31,7,2005-8-18 0:00:00,2.50
54,32,7,2005-8-18 0:00:00,1.00
55,33,7,2005-8-18 0:00:00,2.25
56,34,7,2005-8-18 0:00:00,0.50
57,35,7,2005-8-18 0:00:00,0.50
58,36,7,2005-8-19 0:00:00,1.25
59,37,7,2005-8-19 0:00:00,1.00
60,38,7,2005-8-22 0:00:00,3.00
61,39,7,2005-8-22 0:00:00,1.50
62,26,7,2005-8-22 0:00:00,1.50
63,32,7,2005-8-22 0:00:00,0.50
64,40,7,2005-8-23 0:00:00,4.00
65,41,7,2005-8-23 0:00:00,1.00
66,42,7,2005-8-23 0:00:00,1.50
67,43,7,2005-8-24 0:00:00,4.00
68,44,7,2005-8-24 0:00:00,1.00
69,45,7,2005-8-25 0:00:00,0.50
70,46,7,2005-8-25 0:00:00,3.50
71,47,7,2005-8-26 0:00:00,1.00
72,48,7,2005-8-26 0:00:00,1.00
73,49,7,2005-8-26 0:00:00,1.50
74,49,7,2005-8-27 0:00:00,6.50
75,50,7,2005-8-29 0:00:00,2.00
76,51,7,2005-8-29 0:00:00,2.00
77,52,7,2005-8-29 0:00:00,1.50
78,35,7,2005-8-30 0:00:00,0.50
79,53,7,2005-8-30 0:00:00,2.00
80,54,7,2005-8-30 0:00:00,1.00
81,55,7,2005-8-30 0:00:00,1.00
82,35,7,2005-8-31 0:00:00,1.50
83,56,7,2005-8-31 0:00:00,2.50
84,57,7,2005-8-31 0:00:00,0.50
85,58,7,2005-8-31 0:00:00,2.50
86,59,7,2005-8-31 0:00:00,0.75
87,60,2,2005-8-1 0:00:00,8.00
88,60,2,2005-8-2 0:00:00,8.00
89,60,2,2005-8-3 0:00:00,4.00
90,61,2,2005-8-16 0:00:00,3.50
91,61,2,2005-8-17 0:00:00,1.00
92,61,2,2005-8-18 0:00:00,1.00
93,62,2,2005-8-16 0:00:00,2.00
94,63,2,2005-8-17 0:00:00,5.00
95,64,2,2005-8-18 0:00:00,5.00
96,65,2,2005-8-18 0:00:00,2.50
97,66,2,2005-8-23 0:00:00,3.00
98,63,2,2005-8-23 0:00:00,2.00
99,63,2,2005-8-25 0:00:00,1.00
100,67,2,2005-8-26 0:00:00,9.00
101,68,2,2005-8-24 0:00:00,10.00
102,69,2,2005-8-25 0:00:00,4.00
103,70,2,2005-8-25 0:00:00,2.00
104,71,2,2005-8-25 0:00:00,2.00
105,72,2,2005-8-25 0:00:00,7.00
106,73,2,2005-8-29 0:00:00,7.00
107,74,2,2005-8-30 0:00:00,4.00
108,74,2,2005-8-31 0:00:00,3.00
109,75,2,2005-8-31 0:00:00,2.00
110,76,2,2005-8-31 0:00:00,1.00
111,77,2,2005-8-30 0:00:00,4.00
112,77,2,2005-8-31 0:00:00,3.00
113,78,1,2005-7-29 0:00:00,2.00
114,79,1,2005-7-29 0:00:00,1.00
115,80,1,2005-7-30 0:00:00,1.00
116,81,1,2005-7-30 0:00:00,2.00
117,81,1,2005-7-31 0:00:00,3.00
118,82,1,2005-7-30 0:00:00,0.50
119,83,1,2005-8-1 0:00:00,8.00
120,83,1,2005-8-2 0:00:00,6.00
121,84,1,2005-8-3 0:00:00,5.00
122,85,1,2005-8-4 0:00:00,1.00
123,86,1,2005-8-4 0:00:00,0.50
124,87,1,2005-8-5 0:00:00,2.00
125,88,1,2005-8-5 0:00:00,1.00
126,89,1,2005-8-8 0:00:00,4.00
127,90,1,2005-8-8 0:00:00,1.00
128,91,1,2005-8-9 0:00:00,2.00
129,92,1,2005-8-9 0:00:00,1.00
130,93,1,2005-8-9 0:00:00,2.00
131,93,1,2005-8-10 0:00:00,3.00
132,94,1,2005-8-10 0:00:00,0.50
133,95,1,2005-8-10 0:00:00,1.00
134,96,1,2005-8-11 0:00:00,1.00
135,96,1,2005-8-12 0:00:00,2.00
136,97,1,2005-8-11 0:00:00,2.00
137,98,1,2005-8-11 0:00:00,2.00
138,99,1,2005-8-12 0:00:00,0.50
139,100,1,2005-8-12 0:00:00,2.00
140,101,1,2005-8-15 0:00:00,1.00
141,85,1,2005-8-15 0:00:00,1.00
142,92,1,2005-8-15 0:00:00,2.00
143,92,1,2005-8-18 0:00:00,1.00
144,96,1,2005-8-15 0:00:00,2.00
145,102,1,2005-8-15 0:00:00,1.00
146,102,1,2005-8-16 0:00:00,1.00
147,102,1,2005-8-19 0:00:00,1.00
148,56,1,2005-8-16 0:00:00,4.00
149,103,1,2005-8-17 0:00:00,1.00
150,103,1,2005-8-18 0:00:00,1.00
151,104,1,2005-8-17 0:00:00,4.00
152,105,1,2005-8-17 0:00:00,1.00
153,106,1,2005-8-18 0:00:00,1.00
154,107,1,2005-8-18 0:00:00,1.00
155,108,1,2005-8-19 0:00:00,6.00
156,100,1,2005-8-19 0:00:00,1.00
157,109,1,2005-8-22 0:00:00,3.50
158,110,1,2005-8-22 0:00:00,3.00
159,111,1,2005-8-23 0:00:00,1.00
160,92,1,2005-8-23 0:00:00,1.50
161,26,1,2005-8-23 0:00:00,2.00
162,112,1,2005-8-24 0:00:00,1.00
163,113,1,2005-8-24 0:00:00,1.00
164,114,1,2005-8-24 0:00:00,1.00
165,114,1,2005-8-25 0:00:00,0.50
166,104,1,2005-8-24 0:00:00,4.00
167,115,1,2005-8-25 0:00:00,1.00
168,116,1,2005-8-25 0:00:00,1.50
169,86,1,2005-8-25 0:00:00,0.50
170,117,1,2005-8-25 0:00:00,0.50
171,118,1,2005-8-26 0:00:00,6.00
172,72,1,2005-8-27 0:00:00,7.00
173,119,1,2005-8-29 0:00:00,3.00
174,120,1,2005-8-29 0:00:00,1.00
175,120,1,2005-8-30 0:00:00,1.00
176,121,1,2005-8-29 0:00:00,1.00
177,56,1,2005-8-31 0:00:00,3.00
178,122,1,2005-8-31 0:00:00,2.00
179,123,4,2005-9-7 0:00:00,0.25
180,123,4,2005-9-8 0:00:00,0.50
181,124,4,2005-9-13 0:00:00,0.25
182,124,4,2005-9-14 0:00:00,0.25
183,124,4,2005-9-15 0:00:00,0.25
184,125,4,2005-9-22 0:00:00,0.50
185,126,4,2005-9-23 0:00:00,0.50
186,127,4,2005-9-27 0:00:00,0.25
187,127,4,2005-9-28 0:00:00,0.50
188,128,12,2005-9-26 0:00:00,2.25
189,129,12,2005-9-30 0:00:00,6.50
190,18,8,2005-9-2 0:00:00,3.00
191,130,8,2005-9-2 0:00:00,0.50
192,131,8,2005-9-6 0:00:00,1.00
193,17,8,2005-9-6 0:00:00,1.00
194,132,8,2005-9-6 0:00:00,1.00
195,130,8,2005-9-13 0:00:00,0.50
196,130,8,2005-9-15 0:00:00,0.50
197,133,8,2005-9-13 0:00:00,0.50
198,134,8,2005-9-13 0:00:00,1.00
199,134,8,2005-9-15 0:00:00,3.00
200,135,8,2005-9-13 0:00:00,1.00
201,136,8,2005-9-13 0:00:00,1.00
202,137,8,2005-9-15 0:00:00,6.00
203,138,8,2005-9-13 0:00:00,1.00
204,139,8,2005-9-13 0:00:00,1.00
205,139,8,2005-9-15 0:00:00,1.50
206,140,8,2005-9-19 0:00:00,1.00
207,140,8,2005-9-20 0:00:00,2.00
208,130,8,2005-9-19 0:00:00,0.50
209,130,8,2005-9-20 0:00:00,0.50
210,130,8,2005-9-22 0:00:00,0.50
211,141,8,2005-9-22 0:00:00,2.00
