"ProjPropEnum_ID","ProjPropName_IDRef","Name","Description","Inactive_AsOf"
1,1,"21","Edna Maguire ES",
2,1,"42","San Ramon ES",
3,1,"80","Saint Anselms",
4,1,"52","White Hill MS",
5,1,"64","Sun Valley ES",
6,1,"12","Lagunitas",
7,1,"51","Wade Thomas ES",
8,1,"AD","the mechanic?",
9,1,"46","Reed ES",
10,1,"14","Neil Cummins ES",
11,1,"49","Brookside ES",
12,1,"18","Marin Horizon",
13,1,"30","Hamilton ES",
14,1,"50","Manor ES",
15,1,"60","Glenwood ES",
16,1,"05","Dixie School",
17,1,"48","Ross School",
18,1,"76","Tamalpais HS",
19,1,"34","Lynwood ES",
20,1,"61","Laurel Dell ES",
21,1,"08","Vallecito ES",
22,1,"79","Marin Waldorf",
23,1,"22","Mill Valley MS",
24,1,"63","San Rafael HS",
25,1,"56","Bahia Vista ES",
26,1,"31","Hill MS",
27,1,"78","St. Patricks",
28,1,"73","Redwood HS",
29,1,"75","Sir Francis Drake HS",
30,1,"07","Mill Creek MS",
31,1,"44","Bel Aire ES",
32,1,"26","Tam Valley",
33,1,"39","Rancho ES",
34,1,"00","Not School Specific",
35,1,"01","Bolinas-Stinson",
36,1,"02","Brandeis Hillel",
37,1,"03","Branson",
38,1,"04","Cascade Canyon",
39,1,"06","Mary E. Silveira ES",
40,1,"09","Dunham Academy",
41,1,"10","Bacich ES",
42,1,"11","Kent MS",
43,1,"13","Hall MS",
44,1,"15","Marin Academy",
45,1,"16","Marin Catholic",
46,1,"17","Marin Country Day",
47,1,"19","Marin Montessori",
48,1,"20","Marin Primary & Middle",
49,1,"23","Old Mill ES",
50,1,"24","Park ES",
51,1,"25","Strawberry Point",
52,1,"27","Montessori de Terra Linda",
53,1,"28","Mount Tamalpais",
54,1,"29","Nicasio",
55,1,"32","Loma Verde ES",
56,1,"33","Lu Sutton ES",
57,1,"35","Marin Oaks HS",
58,1,"36","Novato HS",
59,1,"37","Olive ES",
60,1,"38","Pleasant Valley ES",
61,1,"40","San Jose MS",
62,1,"41","San Marin HS",
63,1,"43","Sinaloa MS",
64,1,"45","Del Mar MS",
65,1,"47","Ring Mountain",
66,1,"53","Sain Hillary",
67,1,"54","Sain Marks's",
68,1,"55","San Domenico",
69,1,"57","Coleman ES",
70,1,"58","Davidson MS",
71,1,"59","Gallinas School",
72,1,"62","San Pedro ES",
73,1,"65","Terra Linda HS",
74,1,"66","Bayside ES",
75,1,"67","Martin Luther King Jr. MS",
76,1,"68","Willow Creek ES",
77,1,"69","Tomales ES",
78,1,"70","Tomales HS",
79,1,"71","West Marin School",
80,1,"72","St. Isabella",
81,1,"74","San Andreas HS",
82,1,"77","Tamiscal HS",
