>>t01_Department
"Department_ID","Name","Description","Inactive_AsOf"
1,"SR2S","Safe Routes to School",
>>t02_Project
"Project_ID","Department_IDRef","Name","Description","Inactive_AsOf"
1,1,"TAM","Transportation Authority of Marin contract",
2,1,"MCBC","Non-TAM related SR2S project",
>>t03_Task
"Task_ID","Project_IDRef","Name","Description","Budget","Inactive_AsOf"
1,1,"1A","Strategy Meetings",$1490.80,
2,1,"2D","Develop Plan for Maintaining Activities at Schools",$1222.34,
3,1,"3A","Project Management and Oversight",$4050.80,
4,1,"3B","Implementation of SR2S Activities",$161243.54,
5,1,"6A","Project Management and Oversight",$2532.88,
6,2,"Program",,,
7,1,"2A","Evaluate Existing Program",$310.46,
8,1,"1B","Coordinate with TAM and Other TAM Agencies",$447.24,
9,1,"2B","Research Best Practices of Other SR2S Programs",$298.16,
10,1,"2C","Develop Measures of Success",$149.08,
11,1,"2E","Refine Existing Education Program and Materials",$6336.00,
12,1,"3C","Ongoing Evaluation and Reporting",$2116.24,
13,1,"4A","Engineering Expertise",$1490.80,
14,1,"4B","Develop Safe Routes to School Plans",$506.64,
15,1,"4C","Develop Grant Applications",$0.00,
16,1,"5A","Measure A Safe Pathways to School Program",$447.24,
>>t04_Subtask
"Subtask_ID","Task_IDRef","Name","Description","Inactive_AsOf"
1,1,"*","empty subtask for task 1A",
2,2,"*","empty subtask for task 2D",
3,2,"SD",,
4,3,"*","empty subtask for task 3A",
5,3,"TM",,
6,4,"*","empty subtask for task 3B",
7,4,"AD","General Administration",
8,4,"CN","Contests",
9,4,"EV","Events",
10,4,"PR","Promotion",
11,4,"PT","Partnership Coordination",
12,4,"SP","SchoolPool",
13,4,"TA","TAM Related Admin.",
14,4,"TM","SR2S Team",
15,5,"*","empty subtask for task 6A",
16,6,"*","empty subtask for Program",
17,7,"*","empty subtask for 2A",
18,8,"*","empty subtask for 1B",
19,9,"*","empty subtask for 2B",
20,10,"*","empty subtask for 2C",
21,11,"*","empty subtask for 2E",
22,12,"*","empty subtask for 3C",
23,13,"*","empty subtask for 4A",
24,14,"*","empty subtask for 4B",
25,15,"*","empty subtask for 4C",
26,16,"*","empty subtask for 5A",
27,4,"SD","Systems Development",
28,4,"SC","Scheduling",
29,4,"CD","Curriculum Development",
30,4,"PD","Program Development",
31,4,"NW","Newsletter",
32,4,"CT","Classroom Teaching",
33,4,"FT","Field Training",
34,4,"SU","Surveys",
35,14,"TP","Develop Template",
36,14,"PL","Develop Plans",
37,4,"TN","Team/School Communications",
38,4,"PL","Plans",
39,4,"PC","Curriculum",
40,13,"TM","SR2S Team Meetings",
41,4,"WK","Walkabout",
>>t91_ProjPropName
"ProjPropName_ID","Project_IDRef","Name","Description","Inactive_AsOf"
1,1,"School","School names",
>>t92_ProjPropEnum
"ProjPropEnum_ID","ProjPropName_IDRef","Name","Description","Inactive_AsOf"
1,1,"21","Edna Maguire ES",
2,1,"42","San Ramon ES",
3,1,"80","Saint Anselms",
4,1,"52","White Hill MS",
5,1,"64","Sun Valley ES",
6,1,"12","Lagunitas",
7,1,"51","Wade Thomas ES",
8,1,"AD","the mechanic?",
9,1,"46","Reed ES",
10,1,"14","Neil Cummins ES",
11,1,"49","Brookside ES",
12,1,"18","Marin Horizon",
13,1,"30","Hamilton ES",
14,1,"50","Manor ES",
15,1,"60","Glenwood ES",
16,1,"05","Dixie School",
17,1,"48","Ross School",
18,1,"76","Tamalpais HS",
19,1,"34","Lynwood ES",
20,1,"61","Laurel Dell ES",
21,1,"08","Vallecito ES",
22,1,"79","Marin Waldorf",
23,1,"22","Mill Valley MS",
24,1,"63","San Rafael HS",
25,1,"56","Bahia Vista ES",
26,1,"31","Hill MS",
27,1,"78","St. Patricks",
28,1,"73","Redwood HS",
29,1,"75","Sir Francis Drake HS",
30,1,"07","Mill Creek MS",
31,1,"44","Bel Aire ES",
32,1,"26","Tam Valley",
33,1,"39","Rancho ES",
34,1,"00","Not School Specific",
35,1,"01","Bolinas-Stinson",
36,1,"02","Brandeis Hillel",
37,1,"03","Branson",
38,1,"04","Cascade Canyon",
39,1,"06","Mary E. Silveira ES",
40,1,"09","Dunham Academy",
41,1,"10","Bacich ES",
42,1,"11","Kent MS",
43,1,"13","Hall MS",
44,1,"15","Marin Academy",
45,1,"16","Marin Catholic",
46,1,"17","Marin Country Day",
47,1,"19","Marin Montessori",
48,1,"20","Marin Primary & Middle",
49,1,"23","Old Mill ES",
50,1,"24","Park ES",
51,1,"25","Strawberry Point",
52,1,"27","Montessori de Terra Linda",
53,1,"28","Mount Tamalpais",
54,1,"29","Nicasio",
55,1,"32","Loma Verde ES",
56,1,"33","Lu Sutton ES",
57,1,"35","Marin Oaks HS",
58,1,"36","Novato HS",
59,1,"37","Olive ES",
60,1,"38","Pleasant Valley ES",
61,1,"40","San Jose MS",
62,1,"41","San Marin HS",
63,1,"43","Sinaloa MS",
64,1,"45","Del Mar MS",
65,1,"47","Ring Mountain",
66,1,"53","Sain Hillary",
67,1,"54","Sain Marks's",
68,1,"55","San Domenico",
69,1,"57","Coleman ES",
70,1,"58","Davidson MS",
71,1,"59","Gallinas School",
72,1,"62","San Pedro ES",
73,1,"65","Terra Linda HS",
74,1,"66","Bayside ES",
75,1,"67","Martin Luther King Jr. MS",
76,1,"68","Willow Creek ES",
77,1,"69","Tomales ES",
78,1,"70","Tomales HS",
79,1,"71","West Marin School",
80,1,"72","St. Isabella",
81,1,"74","San Andreas HS",
82,1,"77","Tamiscal HS",
>>t06_TimeLog
"TimeLog_ID","Action_IDRef","Person_IDRef","LogDate","Hours"
1,1,4,2005-7-31 0:00:00,1.00
2,2,4,2005-8-1 0:00:00,0.25
3,2,4,2005-8-5 0:00:00,0.50
4,3,4,2005-8-9 0:00:00,2.50
5,3,4,2005-8-10 0:00:00,1.00
6,3,4,2005-8-11 0:00:00,1.25
7,3,4,2005-8-12 0:00:00,0.50
8,4,4,2005-8-16 0:00:00,0.25
9,4,4,2005-8-18 0:00:00,2.00
