TimeLogProperty_ID,TimeLog_IDRef,ProjPropEnum_IDRef
1,114,9
2,170,9
3,188,11
4,189,16
5,201,1
6,202,10
7,203,11
8,204,12
9,205,12
10,214,1
11,215,1
12,216,10
13,217,11
14,218,12
15,219,12
16,220,12
17,226,13
18,227,14
19,228,11
20,229,10
21,230,15
22,231,16
23,258,11
24,259,11
25,258,7
26,265,10
27,267,12
28,282,7
29,287,11
30,288,1
31,294,14
32,295,14
33,296,14
34,297,12
35,298,16
36,299,16
37,301,17
38,302,10
39,306,18
40,317,10
41,318,7
42,319,7
43,329,15
44,330,11
45,334,11
46,335,14
47,336,16
48,346,1
49,347,1
50,353,20
51,354,11
52,356,10
53,357,16
54,364,22
55,366,23
56,367,24
57,368,23
58,371,11
59,372,14
60,373,16
61,374,16
62,375,11
63,376,11
64,377,14
65,378,14
66,379,14
67,380,10
68,381,10
69,382,10
70,383,10
71,384,10
72,385,13
73,387,16
74,388,16
75,465,7
76,469,10
77,482,9
78,483,17
79,484,25
80,515,26
81,516,7
82,517,12
83,519,1
84,532,4
85,534,1
86,540,1
87,550,27
88,554,12
89,555,10
90,556,5
91,558,14
92,586,74
93,587,23
94,588,23
95,589,58
96,590,58
97,591,28
98,592,59
99,594,71
100,599,15
101,601,33
102,623,74
103,624,74
104,629,74
105,636,74
106,637,74
107,644,71
108,648,74
109,667,33
110,675,71
111,687,30
112,691,71
113,693,23
114,707,71
115,708,30
116,720,30
117,721,30
118,723,2
119,725,10
120,727,74
121,728,74
122,729,74
123,736,30
124,738,23
125,741,74
126,748,28
127,751,71
128,753,71
129,754,71
130,761,23
131,762,71
132,764,30
133,765,30
134,769,23
135,777,30
136,780,39
137,781,83
138,918,39
139,942,83
140,943,83
141,946,74
142,949,71
143,950,74
144,951,74
145,952,74
146,956,4
147,957,71
148,960,4
149,962,74
150,963,74
151,964,74
152,965,74
153,973,71
154,974,4
155,975,6
156,1008,28
157,1009,28
158,1017,28
159,1018,18
160,1021,30
161,1027,18
162,1029,83
163,1037,23
164,1038,30
165,1042,28
166,1045,39
167,1049,39
168,1050,39
169,1055,23
170,1056,23
171,1058,30
172,1059,30
173,1061,51
174,1062,30
175,1068,83
176,1069,83
177,1070,70
178,1094,28
179,1095,28
180,1104,30
181,1105,30
182,1123,28
183,1124,28
184,1127,3
185,1128,38
186,1142,83
187,1149,3
188,1150,53
189,1152,5
190,1230,74
191,1241,3
192,1252,23
193,1253,30
194,1318,74
195,1329,2
196,1330,2
197,1331,2
198,1335,39
199,1336,2
200,1338,3
201,1339,3
202,1340,39
203,1341,5
204,1342,71
205,1343,71
206,1344,71
207,1345,71
208,1347,71
209,1348,71
210,1349,71
211,1352,71
212,1353,71
213,1354,71
214,1355,71
215,1356,71
216,1360,71
217,1366,39
218,1367,39
219,1372,19
220,1374,71
221,1375,71
222,1376,71
223,1382,39
224,1489,29
225,1490,28
226,1492,28
227,1493,30
228,1494,30
229,1495,29
230,1501,23
231,1502,23
232,1507,28
233,1508,29
234,1526,5
235,1527,28
236,1529,30
237,1530,30
238,1534,23
239,1535,28
240,1538,23
241,1539,30
242,1540,30
243,1542,3
244,1543,28
245,1548,23
246,1550,10
247,1555,23
248,1556,19
249,1561,28
250,1564,30
251,1565,30
252,1566,26
253,1568,39
254,1569,39
255,1573,71
256,1574,28
257,1576,30
258,1578,28
259,1579,30
260,1580,30
261,1582,28
262,1584,71
263,1585,71
264,1587,23
265,1589,71
266,1591,30
267,1601,28
268,1607,23
269,1608,23
270,1609,3
271,1611,23
272,1641,4
273,1642,14
274,1643,63
275,1647,39
276,1657,30
277,1677,23
278,1687,10
279,1700,16
280,1714,49
281,1715,49
282,1716,30
283,1731,27
284,1733,49
285,1734,49
286,1735,3
287,1736,71
288,1737,49
289,1738,49
290,1740,49
291,1741,49
292,1742,2
293,1744,5
294,1745,5
295,1746,5
296,1747,12
297,1748,7
298,1749,17
299,1750,17
300,1753,5
301,1754,5
302,1755,5
303,1759,6
304,1760,17
305,1761,2
306,1762,2
307,1763,49
308,1764,71
309,1765,71
310,1770,75
311,1776,2
312,1777,2
313,1778,75
314,1783,75
315,1784,70
316,1785,70
317,1786,39
318,1787,53
319,1790,26
320,1794,71
321,1796,6
322,1797,6
323,1798,6
324,1799,70
325,1804,17
326,1829,71
327,1858,49
328,1859,49
329,1907,17
330,1908,17
331,1921,17
332,1922,49
333,1923,30
334,1925,23
335,1927,49
336,1928,28
337,1930,49
338,1931,39
339,1932,30
340,1934,30
341,1941,28
342,1944,28
343,1946,23
344,1951,2
345,1952,49
346,1954,49
347,1956,28
348,1957,15
349,1960,2
350,1963,30
351,1977,28
352,1984,12
353,1985,12
354,1986,2
355,1987,2
356,1988,71
357,1991,29
358,1992,5
359,1998,29
360,1999,29
361,2003,7
362,2005,28
363,2006,28
364,2009,39
365,2010,30
366,2017,26
367,2018,6
368,2019,28
369,2022,6
370,2025,23
371,2026,17
372,2029,28
373,2030,28
374,2054,12
375,2073,2
