task_id,project_idref,name,description,budget,inactive_asof,timestamp
1,1,1A,"Manage and Report Program",25875,,"2015-06-26 22:06:52"
2,1,1B,"Coordinate with TAM programs",2135,,"2015-06-26 22:06:52"
3,1,1C,"Stakeholder Outreach",893,,"2015-06-26 22:06:52"
4,1,1D,"Integrate Program Regionally",4638,,"2015-06-26 22:06:52"
5,1,1E,"Establish Sustainable Funding",0,,"2015-06-26 22:06:52"
6,1,1F,"Promote SR2S Program",31659,,"2015-06-26 22:06:52"
7,2,Program,0,0,,"2015-06-26 22:06:52"
8,1,2A,"Facilitate District Task Forces",67732,,"2015-06-26 22:06:52"
9,1,2B,"Institutionalize the Program",1416,,"2015-06-26 22:06:52"
10,1,2C,Education,226734,,"2015-06-26 22:06:52"
11,1,2D,Encouragement,128117.5,,"2015-06-26 22:06:52"
12,1,2E,"Organize Teen Clubs",102414.5,,"2015-06-26 22:06:52"
13,1,2F,"Evaluate the Program",15126,,"2015-06-26 22:06:52"
14,2,Program,0,0,,"2015-06-26 22:06:52"
15,1,3A,"Promote SchoolPool Marin",15707.5,,"2015-06-26 22:06:52"
16,1,6A,"Travel Plans",4462.5,,"2015-06-26 22:06:52"
17,2,Program2,0,0,,"2015-06-26 22:06:52"
18,1,Program3,0,0,,"2015-06-26 22:06:52"
19,1,Program4,0,0,,"2015-06-26 22:06:52"
20,1,Program5,0,0,,"2015-06-26 22:06:52"
21,1,Program6,0,0,,"2015-06-26 22:06:52"
22,1,Program7,0,0,,"2015-06-26 22:06:52"
