person_permit_id,person_idref,permit_idref,organization_idref,project_idref,timestamp
10,25,13,1,0,"2015-06-26 23:20:23"
11,25,8,1,0,"2015-06-26 23:20:23"
12,25,4,1,0,"2015-06-26 23:20:23"
13,25,3,1,0,"2015-06-26 23:20:23"
14,25,5,1,0,"2015-06-26 23:20:23"
15,25,10,1,1,"2015-06-26 23:20:23"
16,25,9,1,1,"2015-06-26 23:20:23"
17,25,11,1,1,"2015-06-26 23:20:23"
18,25,12,1,1,"2015-06-26 23:20:23"
19,25,7,1,1,"2015-06-26 23:20:23"
20,25,6,1,1,"2015-06-26 23:20:23"
21,25,10,1,2,"2015-06-26 23:20:40"
22,25,9,1,2,"2015-06-26 23:20:40"
23,25,11,1,2,"2015-06-26 23:20:40"
24,25,12,1,2,"2015-06-26 23:20:40"
25,25,7,1,2,"2015-06-26 23:20:40"
26,25,6,1,2,"2015-06-26 23:20:40"
27,25,10,1,3,"2015-06-26 23:20:54"
28,25,9,1,3,"2015-06-26 23:20:54"
29,25,11,1,3,"2015-06-26 23:20:54"
30,25,12,1,3,"2015-06-26 23:20:54"
31,25,7,1,3,"2015-06-26 23:20:54"
32,25,6,1,3,"2015-06-26 23:20:54"
