account_id,accounting_idref,name,description,inactive_asof,timestamp
1,1,21,"Edna Maguire ES",,"2015-06-11 23:58:01"
2,1,42,"San Ramon ES",,"2015-06-11 23:58:01"
3,1,80,"Saint Anselms",,"2015-06-11 23:58:01"
4,1,52,"White Hill MS",,"2015-06-11 23:58:01"
5,1,64,"Sun Valley ES",,"2015-06-11 23:58:01"
6,1,12,Lagunitas,,"2015-06-11 23:58:01"
7,1,51,"Wade Thomas ES",,"2015-06-11 23:58:01"
8,1,AD,"the mechanic",,"2015-06-11 23:58:01"
9,1,46,"Reed ES",,"2015-06-11 23:58:01"
10,1,14,"Neil Cummins ES",,"2015-06-11 23:58:01"
11,1,49,"Brookside ES",,"2015-06-11 23:58:01"
12,1,18,"Marin Horizon",,"2015-06-11 23:58:01"
13,1,30,"Hamilton ES",,"2015-06-11 23:58:01"
14,1,50,"Manor ES",,"2015-06-11 23:58:01"
15,1,60,"Glenwood ES",,"2015-06-11 23:58:01"
16,1,05,"Dixie School",,"2015-06-11 23:58:01"
17,1,48,"Ross School",,"2015-06-11 23:58:01"
18,1,76,"Tamalpais HS",,"2015-06-11 23:58:01"
19,1,34,"Lynwood ES",,"2015-06-11 23:58:01"
20,1,61,"Laurel Dell ES",,"2015-06-11 23:58:01"
21,1,08,"Vallecito ES",,"2015-06-11 23:58:01"
22,1,79,"Marin Waldorf",,"2015-06-11 23:58:01"
23,1,22,"Mill Valley MS",,"2015-06-11 23:58:01"
24,1,63,"San Rafael HS",,"2015-06-11 23:58:01"
25,1,56,"Bahia Vista ES",,"2015-06-11 23:58:01"
26,1,31,"Hill MS",,"2015-06-11 23:58:01"
27,1,78,"St. Patricks",,"2015-06-11 23:58:01"
28,1,73,"Redwood HS",,"2015-06-11 23:58:01"
29,1,75,"Sir Francis Drake HS",,"2015-06-11 23:58:01"
30,1,07,"Mill Creek MS",,"2015-06-11 23:58:01"
31,1,44,"Bel Aire ES",,"2015-06-11 23:58:01"
32,1,26,"Tam Valley",,"2015-06-11 23:58:01"
33,1,39,"Rancho ES",,"2015-06-11 23:58:01"
34,1,00,"Not School Specific",,"2015-06-11 23:58:01"
