rate_id,person_idref,project_idref,rate,effective_asof,expire_after,timestamp
1,1,1,59.5,2010-07-01,,"2015-06-12 00:15:05"
2,2,1,26.06,2005-01-01,,"2015-06-12 00:15:05"
3,3,1,70,2010-07-01,,"2015-06-12 00:15:05"
4,4,1,42.75,2010-07-01,,"2015-06-12 00:15:05"
5,5,1,26.06,2005-01-01,,"2015-06-12 00:15:05"
6,6,1,26.06,2005-01-01,,"2015-06-12 00:15:05"
7,7,1,33.65,2005-01-01,,"2015-06-12 00:15:05"
8,8,1,35.82,2005-01-01,,"2015-06-12 00:15:05"
9,9,1,43.42,2005-01-01,,"2015-06-12 00:15:05"
10,10,1,26.06,2005-01-01,,"2015-06-12 00:15:05"
11,11,1,41,2010-07-01,,"2015-06-12 00:15:05"
12,12,1,27.5,2010-07-01,,"2015-06-12 00:15:05"
13,13,1,37,2007-07-01,,"2015-06-12 00:15:05"
14,14,1,23.83,2005-01-01,,"2015-06-12 00:15:05"
15,15,1,26,2007-07-01,,"2015-06-12 00:15:05"
16,16,1,35.13,2006-08-01,,"2015-06-12 00:15:05"
17,17,1,28.79,2007-07-01,,"2015-06-12 00:15:05"
18,18,1,34.5,2010-07-01,,"2015-06-12 00:15:05"
19,19,1,27.5,2010-07-01,,"2015-06-12 00:15:05"
20,20,1,27.5,2010-07-01,,"2015-06-12 00:15:05"
21,21,1,27.5,2007-07-01,,"2015-06-12 00:15:05"
22,22,1,30,2010-07-01,,"2015-06-12 00:15:05"
23,23,1,43.55,2007-08-15,,"2015-06-12 00:15:05"
24,24,1,31,2009-10-29,,"2015-06-12 00:15:05"
25,25,1,43,2010-07-01,,"2015-06-12 00:15:05"
26,26,1,31,2010-07-01,,"2015-06-12 00:15:05"
27,27,1,31.25,2008-01-01,,"2015-06-12 00:15:05"
28,28,1,28.5,2008-03-15,,"2015-06-12 00:15:05"
29,29,1,28.5,2008-03-15,,"2015-06-12 00:15:05"
30,30,1,45,2010-07-01,,"2015-06-12 00:15:05"
31,31,1,26,2008-03-15,,"2015-06-12 00:15:05"
32,32,1,27.5,2010-07-01,,"2015-06-12 00:15:05"
33,33,1,28.5,2010-07-01,,"2015-06-12 00:15:05"
34,34,1,27.5,2010-07-01,,"2015-06-12 00:15:05"
35,35,1,27.5,2010-07-01,,"2015-06-12 00:15:05"
36,36,1,27.5,2010-07-01,,"2015-06-12 00:15:05"
37,37,1,38.35,2010-08-15,,"2015-06-12 00:15:05"
38,38,1,33,2010-08-15,,"2015-06-12 00:15:05"
39,39,1,27.5,2010-08-15,,"2015-06-12 00:15:05"
40,40,1,27.5,2010-08-15,,"2015-06-12 00:15:05"
41,41,1,27.5,2010-08-15,,"2015-06-12 00:15:05"
42,42,1,27.5,2010-08-15,,"2015-06-12 00:15:05"
43,43,1,27.5,2010-08-15,,"2015-06-12 00:15:05"
44,44,1,27.5,2010-09-15,,"2015-06-12 00:15:05"
45,45,1,41,2011-11-01,,"2015-06-12 00:15:05"
46,46,1,18,2012-04-01,,"2015-06-12 00:15:05"
47,47,1,18,2012-04-01,,"2015-06-12 00:15:05"
48,48,1,22.5,2012-08-01,,"2015-06-12 00:15:05"
49,49,1,22.5,2012-08-01,,"2015-06-12 00:15:05"
50,50,1,28.5,2012-09-15,,"2015-06-12 00:15:05"
51,51,1,35.5,2013-02-06,,"2015-06-12 00:15:05"
52,52,1,28.5,2013-03-13,,"2015-06-12 00:15:05"
53,53,1,28.5,2013-03-01,,"2015-06-12 00:15:05"
54,54,1,28.5,2013-03-01,,"2015-06-12 00:15:05"
55,55,1,28.5,2013-03-01,,"2015-06-12 00:15:05"
56,56,1,28.5,2013-03-01,,"2015-06-12 00:15:05"
57,57,1,29.5,2013-10-01,,"2015-06-12 00:15:05"
58,58,1,28.5,2013-10-01,,"2015-06-12 00:15:05"
59,59,1,28.5,2014-04-01,,"2015-06-12 00:15:05"
60,60,1,78,2014-09-01,,"2015-06-12 00:15:05"
61,61,1,30,2014-09-01,,"2015-06-12 00:15:05"
62,62,1,28.5,2014-09-15,,"2015-06-12 00:15:05"
63,0,1,0,2013-06-11,,"2015-06-12 00:15:05"
