eventlog_id,event_idref,person_idref,account_idref,session_count,attendance,logdate,comments,timestamp
1,1,8,10,2,35,2014-08-20,,"2014-08-29 21:57:27"
2,5,47,4,1,23,2014-08-23,"At White Hill MS","2014-08-29 21:59:22"
3,7,37,41,2,33,2014-08-28,"Around and around...","2014-08-30 23:55:52"
5,13,37,37,2,41,2014-08-31,"Going on a trip","2014-09-01 02:52:11"
6,12,37,8,1,10,2014-08-26,"Chain lube","2014-09-02 18:46:36"
8,3,37,96,1,25,2014-08-31,"good thing","2014-09-10 23:05:11"
9,5,37,11,1,15,2014-08-21,Yahoo,"2014-09-12 01:14:34"
12,5,37,50,2,41,2014-06-04,"Ride em","2014-09-12 19:41:03"
13,3,37,50,1,33,2014-06-04,"Ride Right","2014-09-12 19:52:49"
14,2,37,50,2,53,2014-06-04,"Around and around","2014-09-12 19:54:03"
15,2,37,50,2,41,2014-06-04,Walking,"2014-09-12 19:54:32"
17,5,37,96,1,23,2014-08-25,"Ride em","2014-09-12 20:48:28"
18,1,37,50,1,23,2014-06-04,"Whoa there","2014-09-16 00:59:15"
20,10,37,50,3,55,2014-06-04,"Red, white, and green","2014-09-16 01:12:14"
21,10,37,50,1,25,2014-06-04,"Greener still","2014-09-16 01:16:03"
22,30,37,50,1,2,2014-06-04,"No flats here","2014-09-16 01:20:29"
23,4,37,74,1,23,2014-09-03,"Ride Right","2014-09-18 17:12:55"
24,8,37,50,1,16,2014-06-04,"How to draw a bicycle","2014-09-23 21:48:47"
25,1,0,41,1,16,2014-09-16,"OK, here they are","2014-09-23 23:16:27"
26,1,37,50,1,22,2014-06-04,,"2014-09-23 23:34:03"
27,7,0,1,2,36,2014-09-17,"On and off","2014-09-23 23:35:09"
29,4,37,69,1,17,2014-09-20,"Ride right","2014-09-25 15:49:16"
