rate_id,person_idref,project_idref,rate,effective_asof,expire_after,timestamp
1,1,1,59.5,2010-07-01,,"2014-09-25 20:35:33"
2,2,1,26.06,2005-01-01,,"2014-09-25 20:35:33"
3,3,1,70,2010-07-01,,"2014-09-25 20:35:33"
4,4,1,42.75,2010-07-01,,"2014-09-25 20:35:33"
5,5,1,26.06,2005-01-01,,"2014-09-25 20:35:33"
6,6,1,26.06,2005-01-01,,"2014-09-25 20:35:33"
7,7,1,33.65,2005-01-01,,"2014-09-25 20:35:33"
8,8,1,35.82,2005-01-01,,"2014-09-25 20:35:33"
9,9,1,43.42,2005-01-01,,"2014-09-25 20:35:33"
10,10,1,26.06,2005-01-01,,"2014-09-25 20:35:33"
11,11,1,41,2010-07-01,,"2014-09-25 20:35:33"
12,12,1,27.5,2010-07-01,,"2014-09-25 20:35:33"
13,13,1,37,2007-07-01,,"2014-09-25 20:35:33"
14,14,1,23.83,2005-01-01,,"2014-09-25 20:35:33"
15,15,1,26,2007-07-01,,"2014-09-25 20:35:33"
16,16,1,35.13,2006-08-01,,"2014-09-25 20:35:33"
17,17,1,28.79,2007-07-01,,"2014-09-25 20:35:33"
18,18,1,34.5,2010-07-01,,"2014-09-25 20:35:33"
19,19,1,27.5,2010-07-01,,"2014-09-25 20:35:33"
20,20,1,27.5,2010-07-01,,"2014-09-25 20:35:33"
21,21,1,27.5,2007-07-01,,"2014-09-25 20:35:33"
22,22,1,30,2010-07-01,,"2014-09-25 20:35:33"
23,23,1,43.55,2007-08-15,,"2014-09-25 20:35:33"
24,24,1,31,2009-10-29,,"2014-09-25 20:35:33"
25,25,1,43,2010-07-01,,"2014-09-25 20:35:33"
26,26,1,31,2010-07-01,,"2014-09-25 20:35:33"
27,27,1,31.25,2008-01-01,,"2014-09-25 20:35:33"
28,28,1,28.5,2008-03-15,,"2014-09-25 20:35:33"
29,29,1,28.5,2008-03-15,,"2014-09-25 20:35:33"
30,30,1,45,2010-07-01,,"2014-09-25 20:35:33"
31,31,1,26,2008-03-15,,"2014-09-25 20:35:33"
32,32,1,27.5,2010-07-01,,"2014-09-25 20:35:33"
33,33,1,28.5,2010-07-01,,"2014-09-25 20:35:33"
34,34,1,27.5,2010-07-01,,"2014-09-25 20:35:33"
35,35,1,27.5,2010-07-01,,"2014-09-25 20:35:33"
36,36,1,27.5,2010-07-01,,"2014-09-25 20:35:33"
37,37,1,38.35,2010-08-15,,"2014-09-25 20:35:33"
38,38,1,33,2010-08-15,,"2014-09-25 20:35:33"
39,39,1,27.5,2010-08-15,,"2014-09-25 20:35:33"
40,40,1,27.5,2010-08-15,,"2014-09-25 20:35:33"
41,41,1,27.5,2010-08-15,,"2014-09-25 20:35:33"
42,42,1,27.5,2010-08-15,,"2014-09-25 20:35:33"
43,43,1,27.5,2010-08-15,,"2014-09-25 20:35:33"
44,44,1,27.5,2010-09-15,,"2014-09-25 20:35:33"
45,45,1,41,2011-11-01,,"2014-09-25 20:35:33"
46,46,1,18,2012-04-01,,"2014-09-25 20:35:33"
47,47,1,18,2012-04-01,,"2014-09-25 20:35:33"
48,48,1,22.5,2012-08-01,,"2014-09-25 20:35:33"
49,49,1,22.5,2012-08-01,,"2014-09-25 20:35:33"
50,50,1,28.5,2012-09-15,,"2014-09-25 20:35:33"
51,51,1,35.5,2013-02-06,,"2014-09-25 20:35:33"
52,52,1,28.5,2013-03-13,,"2014-09-25 20:35:33"
53,53,1,28.5,2013-03-01,,"2014-09-25 20:35:34"
54,54,1,28.5,2013-03-01,,"2014-09-25 20:35:34"
55,55,1,28.5,2013-03-01,,"2014-09-25 20:35:34"
56,56,1,28.5,2013-03-01,,"2014-09-25 20:35:34"
57,57,1,29.5,2013-10-01,,"2014-09-25 20:35:34"
58,58,1,28.5,2013-10-01,,"2014-09-25 20:35:34"
59,59,1,28.5,2014-04-01,,"2014-09-25 20:35:34"
60,60,1,78,2014-09-01,,"2014-09-25 20:35:34"
61,61,1,30,2014-09-01,,"2014-09-25 20:35:34"
62,62,1,28.5,2014-09-15,,"2014-09-25 20:35:34"
63,0,1,0,2012-09-25,,"2014-09-25 20:35:34"
