subtask_id,task_idref,name,description,extension,inactive_asof,timestamp
1,1,MG,Management,,,"2014-09-25 20:11:13"
2,1,RP,Reporting,,,"2014-09-25 20:11:13"
3,1,GT,"Grant Preparation",,,"2014-09-25 20:11:13"
4,2,*,"empty subtask for task 1B",,,"2014-09-25 20:11:13"
5,3,*,"empty subtask for task 1C",,,"2014-09-25 20:11:13"
6,4,*,"empty subtask for task 1D",,,"2014-09-25 20:11:13"
7,5,*,"empty subtask for task 1E",,,"2014-09-25 20:11:13"
8,6,*,"empty sutask for task 1F",,,"2014-09-25 20:11:13"
9,8,MT,Meetings,,,"2014-09-25 20:11:13"
10,8,TP,"Travel Plans",,,"2014-09-25 20:11:13"
11,8,WA,"Walk Audit",,,"2014-09-25 20:11:13"
12,9,*,"Institutionalize the Program",,,"2014-09-25 20:11:13"
13,10,ES,"Elementary Schools",class_count,,"2014-09-25 20:11:13"
14,10,MS,"Middle Schools",class_count,,"2014-09-25 20:11:13"
15,10,HS,"High Schools",class_count,,"2014-09-25 20:11:14"
16,10,SC,Scheduling,,,"2014-09-25 20:11:14"
17,10,CD,"Curriculum Development",,,"2014-09-25 20:11:14"
18,10,CM,Communications,,,"2014-09-25 20:11:14"
19,10,EM,"Equipment Maintenance",,,"2014-09-25 20:11:14"
20,11,PD,"Program Development",,,"2014-09-25 20:11:14"
21,11,CN,Contests,,,"2014-09-25 20:11:14"
22,11,EV,"Special Events",,,"2014-09-25 20:11:14"
23,11,CM,Communications,,,"2014-09-25 20:11:14"
24,11,WR,"Walk and Roll Days",,,"2014-09-25 20:11:14"
25,11,VM,"Volunteer Management",,,"2014-09-25 20:11:14"
26,11,MT,Meetings,,,"2014-09-25 20:11:14"
27,12,PD,"Program Development",,,"2014-09-25 20:11:14"
28,12,EV,Events,,,"2014-09-25 20:11:14"
29,12,CN,Contests,,,"2014-09-25 20:11:14"
30,12,MT,Meetings,,,"2014-09-25 20:11:14"
31,12,CM,Communications,,,"2014-09-25 20:11:14"
32,13,*,"Empty Subtask for task 2F",,,"2014-09-25 20:11:14"
33,15,*,"Empty subtask for task 3",,,"2014-09-25 20:11:14"
34,8,CM,Communications,,,"2014-09-25 20:11:14"
35,10,MT,Meetings,,,"2014-09-25 20:11:14"
36,8,CM,Communications,,,"2014-09-25 20:11:14"
37,1,SM,"Staff Management",,,"2014-09-25 20:11:14"
38,10,SM,"Staff Management",,,"2014-09-25 20:11:14"
39,11,SM,"Staff Management",,,"2014-09-25 20:11:14"
40,12,SM,"Staff Management",,,"2014-09-25 20:11:14"
41,8,BL,"Bi Lingual program",,,"2014-09-25 20:11:14"
42,0,*,*,,,"2014-09-25 20:11:14"
43,0,*,*,,,"2014-09-25 20:11:14"
44,0,*,*,,,"2014-09-25 20:11:14"
45,0,*,*,,,"2014-09-25 20:11:14"
46,0,*,*,,,"2014-09-25 20:11:14"
47,0,*,*,,,"2014-09-25 20:11:14"
48,0,*,*,,,"2014-09-25 20:11:14"
49,0,*,*,,,"2014-09-25 20:11:14"
50,0,*,*,,,"2014-09-25 20:11:14"
51,0,*,*,,,"2014-09-25 20:11:14"
52,0,*,*,,,"2014-09-25 20:11:14"
53,0,*,*,,,"2014-09-25 20:11:14"
54,0,*,*,,,"2014-09-25 20:11:14"
55,4,MTC,"Spare the Air grant",,,"2014-09-25 20:11:14"
56,18,*,"empty subtask for 9A",,,"2014-09-25 20:11:14"
57,19,*,"empty subtask for 9B",,,"2014-09-25 20:11:14"
58,20,*,"empty subtask for 9C",,,"2014-09-25 20:11:14"
59,21,*,"empty subtask for 9D",,,"2014-09-25 20:11:14"
60,22,*,"empty subtask for 9E",,,"2014-09-25 20:11:14"
61,23,seed,"initial seed subtask - please change",,,"2014-09-26 17:37:28"
62,17,9to5,"From 9AM to 5PM",,,"2014-10-03 01:40:52"
