account_id,accounting_idref,name,description,inactive_asof,timestamp
1,1,21,"Edna Maguire ES",,"2014-09-25 20:11:14"
2,1,42,"San Ramon ES",,"2014-09-25 20:11:14"
3,1,80,"Saint Anselms",,"2014-09-25 20:11:14"
4,1,52,"White Hill MS",,"2014-09-25 20:11:14"
5,1,64,"Sun Valley ES",,"2014-09-25 20:11:14"
6,1,12,Lagunitas,,"2014-09-25 20:11:14"
7,1,51,"Wade Thomas ES",,"2014-09-25 20:11:14"
8,1,AD,"the mechanic?",,"2014-09-25 20:11:14"
9,1,46,"Reed ES",,"2014-09-25 20:11:14"
10,1,14,"Neil Cummins ES",,"2014-09-25 20:11:14"
11,1,49,"Brookside ES",,"2014-09-25 20:11:14"
12,1,18,"Marin Horizon",,"2014-09-25 20:11:14"
13,1,30,"Hamilton ES",,"2014-09-25 20:11:14"
14,1,50,"Manor ES",,"2014-09-25 20:11:14"
15,1,60,"Glenwood ES",,"2014-09-25 20:11:14"
16,1,05,"Dixie School",,"2014-09-25 20:11:14"
17,1,48,"Ross School",,"2014-09-25 20:11:14"
18,1,76,"Tamalpais HS",,"2014-09-25 20:11:14"
19,1,34,"Lynwood ES",,"2014-09-25 20:11:14"
20,1,61,"Laurel Dell ES",,"2014-09-25 20:11:14"
21,1,08,"Vallecito ES",,"2014-09-25 20:11:14"
22,1,79,"Marin Waldorf",,"2014-09-25 20:11:14"
23,1,22,"Mill Valley MS",,"2014-09-25 20:11:14"
24,1,63,"San Rafael HS",,"2014-09-25 20:11:14"
25,1,56,"Bahia Vista ES",,"2014-09-25 20:11:14"
26,1,31,"Hill MS",,"2014-09-25 20:11:14"
27,1,78,"St. Patricks",,"2014-09-25 20:11:14"
28,1,73,"Redwood HS",,"2014-09-25 20:11:14"
29,1,75,"Sir Francis Drake HS",,"2014-09-25 20:11:14"
30,1,07,"Mill Creek MS",,"2014-09-25 20:11:14"
31,1,44,"Bel Aire ES",,"2014-09-25 20:11:14"
32,1,26,"Tam Valley",,"2014-09-25 20:11:14"
33,1,39,"Rancho ES",,"2014-09-25 20:11:14"
34,1,00,"Not School Specific",,"2014-09-25 20:11:14"
35,1,01,Bolinas-Stinson,,"2014-09-25 20:11:14"
36,1,02,"Brandeis Hillel",,"2014-09-25 20:11:14"
37,1,03,Branson,,"2014-09-25 20:11:14"
38,1,04,"Cascade Canyon",,"2014-09-25 20:11:14"
39,1,06,"Mary E. Silveira ES",,"2014-09-25 20:11:14"
40,1,09,"Dunham Academy",,"2014-09-25 20:11:14"
41,1,10,"Bacich ES",,"2014-09-25 20:11:14"
42,1,11,"Kent MS",,"2014-09-25 20:11:14"
43,1,13,"Hall MS",,"2014-09-25 20:11:14"
44,1,15,"Marin Academy",,"2014-09-25 20:11:14"
45,1,16,"Marin Catholic",,"2014-09-25 20:11:14"
46,1,17,"Marin Country Day",,"2014-09-25 20:11:14"
47,1,19,"Marin Montessori",,"2014-09-25 20:11:14"
48,1,20,"Marin Primary & Middle",,"2014-09-25 20:11:14"
49,1,23,"Old Mill ES",,"2014-09-25 20:11:14"
50,1,24,"Park ES",,"2014-09-25 20:11:14"
51,1,25,"Strawberry Point",,"2014-09-25 20:11:14"
52,1,27,"Montessori de Terra Linda",,"2014-09-25 20:11:14"
53,1,28,"Mount Tamalpais",,"2014-09-25 20:11:14"
54,1,29,Nicasio,,"2014-09-25 20:11:14"
55,1,32,"Loma Verde ES",,"2014-09-25 20:11:14"
56,1,33,"Lu Sutton ES",,"2014-09-25 20:11:14"
57,1,35,"Marin Oaks HS",,"2014-09-25 20:11:14"
58,1,36,"Novato HS",,"2014-09-25 20:11:14"
59,1,37,"Olive ES",,"2014-09-25 20:11:14"
60,1,38,"Pleasant Valley ES",,"2014-09-25 20:11:14"
61,1,40,"San Jose MS",,"2014-09-25 20:11:14"
62,1,41,"San Marin HS",,"2014-09-25 20:11:14"
63,1,43,"Sinaloa MS",,"2014-09-25 20:11:14"
64,1,45,"Del Mar MS",,"2014-09-25 20:11:14"
65,1,47,"Ring Mountain",,"2014-09-25 20:11:14"
66,1,53,"Sain Hillary",,"2014-09-25 20:11:14"
67,1,54,"Sain Marks's",,"2014-09-25 20:11:14"
68,1,55,"San Domenico",,"2014-09-25 20:11:14"
69,1,57,"Coleman ES",,"2014-09-25 20:11:14"
70,1,58,"Davidson MS",,"2014-09-25 20:11:14"
71,1,59,"Gallinas School",,"2014-09-25 20:11:14"
72,1,62,"San Pedro ES",,"2014-09-25 20:11:14"
73,1,65,"Terra Linda HS",,"2014-09-25 20:11:14"
74,1,66,"Bayside ES",,"2014-09-25 20:11:14"
75,1,67,"Martin Luther King Jr. MS",,"2014-09-25 20:11:14"
76,1,68,"Willow Creek ES",,"2014-09-25 20:11:14"
77,1,69,"Tomales ES",,"2014-09-25 20:11:14"
78,1,70,"Tomales HS",,"2014-09-25 20:11:14"
79,1,71,"West Marin School",,"2014-09-25 20:11:14"
80,1,72,"St. Isabella",,"2014-09-25 20:11:14"
81,1,74,"San Andreas HS",,"2014-09-25 20:11:14"
82,1,77,"Tamiscal HS",,"2014-09-25 20:11:14"
83,1,81,"St. Rita",,"2014-09-25 20:11:14"
84,1,82,"Our Lady of Loretto",,"2014-09-25 20:11:14"
85,1,DX,Dixie,,"2014-09-25 20:11:14"
