activity_id,description,timestamp
1,"Michael Feliciano officeemail set-up","2014-09-25 21:43:05"
2,"Filemaker database transition, and TAM insurance endorsmts coord","2014-09-25 21:43:05"
3,"Filemaker database transition, Anti-virus program install, website updates","2014-09-25 21:43:05"
4,"website updates and staff technical support","2014-09-25 21:43:05"
5,"staff technical support and Filemaker database transition meeting","2014-09-25 21:43:05"
6,"reponding to inquiries from the last two months from schools, volunteers, and other agencies requiring information.","2014-09-25 21:43:05"
7,"reponding to inquiries from the last two months from schools, volunteers, and other agencies requiring information.","2014-09-25 21:43:05"
8,"Inventory office supplies, move materials","2014-09-25 21:43:05"
9,"Inventory materials,","2014-09-25 21:43:05"
10,"Set up parks and rec cycling maint workshops, set up safety training 924","2014-09-25 21:43:05"
11,"Write article on canal for newsletter","2014-09-25 21:43:05"
12,"Assist with TL Training","2014-09-25 21:43:05"
13,"Create New class calender","2014-09-25 21:43:05"
14,"Survey new staff, set up personal calender, fill out timesheets","2014-09-25 21:43:05"
15,"Staff Mtg.,","2014-09-25 21:43:05"
16,"Reschelule Bacich Bike Maint Class","2014-09-25 21:43:05"
17,"Schedule staff for classes","2014-09-25 21:43:05"
18,"Inventory materials","2014-09-25 21:43:05"
19,"Insurance Endorsements pages coordination, new timesheet format and billing codes development","2014-09-25 21:43:05"
20,"Michael Feliciano orientation and employee forms coordination","2014-09-25 21:43:05"
21,"timesheet templates revisions, MOA revisions, high school projetcs and Biketoberfest parade planning coordination with staff","2014-09-25 21:43:05"
22,"TAM mtg re MOA, August Team Leader room rental coordination, MOA edits per mtg., Insurance Endorsements pages coordination","2014-09-25 21:43:05"
23,"MOA edits, timesheet template and billing codes refinement","2014-09-25 21:43:05"
24,"contract review and coordination","2014-09-25 21:43:05"
25,"revised timesheet template with Wendi","2014-09-25 21:43:05"
26,"SCHOOLTEAM COMMUNICATIONS","2014-09-25 21:43:05"
27,"WALK TO SCHOOL WEEK PREP","2014-09-25 21:43:05"
28,"REVIEWING YEARS PROJECTS","2014-09-25 21:43:05"
29,INVENTORYDATABASE,"2014-09-25 21:43:05"
30,"CURRICULUM REVIEW","2014-09-25 21:43:05"
31,"WALK TO SCHOOL WEEK","2014-09-25 21:43:05"
32,"ELEMENTARY SAFETY CLASSES","2014-09-25 21:43:05"
33,"NEW TEACHERS LOGISTICS","2014-09-25 21:43:05"
34,"NEXT GENERATIONYOUTH","2014-09-25 21:43:05"
35,TIMESHEETS,"2014-09-25 21:43:05"
36,"WALK TO SCHOOL DAY PREP CLASSES","2014-09-25 21:43:05"
37,DATABASE,"2014-09-25 21:43:05"
38,"NEXT GENERATION MEETING","2014-09-25 21:43:05"
39,"NEW HIGH SCHOOL CLASSES","2014-09-25 21:43:05"
40,"MATERIALS FOR SAFETY ART CLASS","2014-09-25 21:43:05"
41,"OUTREACH MATERIALS FOR WALK TO SCHOOL","2014-09-25 21:43:05"
42,"WALK TO SCHOOL DAY SUPPLIES","2014-09-25 21:43:05"
43,"PARTNERSHIP MEETING ABOUT PARADE","2014-09-25 21:43:05"
44,"MCC CURRICULUM RESEARCH","2014-09-25 21:43:05"
45,"CLASS SCHEDULING","2014-09-25 21:43:05"
46,"INVENTORY CLEAN UP","2014-09-25 21:43:05"
47,"CURRICULUM GUIDE EDITS","2014-09-25 21:43:05"
48,MATERIALSSUPPLIES,"2014-09-25 21:43:05"
49,"TEAM LEADER MEETING","2014-09-25 21:43:05"
50,"RESEARCH ON MIDDLE SCHOOL OUTREACH","2014-09-25 21:43:05"
51,"ELEMENTARY SCHOOL","2014-09-25 21:43:05"
52,"PARADE LEGALITY DOCUMENTS","2014-09-25 21:43:05"
53,"TEAMSCHOOL COMMUNICATIONS","2014-09-25 21:43:05"
54,"SPECIAL EVENT CLASSES","2014-09-25 21:43:05"
55,"REVIEW CURRICULUM","2014-09-25 21:43:05"
56,"STAFF MEETING","2014-09-25 21:43:05"
57,"NEXT GENERATION","2014-09-25 21:43:05"
58,"EXTRA TEACHER COORDINATIONCLASSES","2014-09-25 21:43:05"
59,"PARADE INVITES","2014-09-25 21:43:05"
60,"Training in program procedures, details on schools, team leaders, elements of the program, while setting up new filing systems.","2014-09-25 21:43:05"
61,"STAFF MTG, DB MTG, PREP FOR TEAM LEADER TRAINING","2014-09-25 21:43:05"
62,"DEVELOP STORAGE FACILITY FOR MATERIALS","2014-09-25 21:43:05"
63,"TEAM LEADER FORMS, W2SD AND TRAINING PREP","2014-09-25 21:43:05"
64,"developing database framework","2014-09-25 21:43:05"
65,"Editing Flyers, Etc. For HPP Parade","2014-09-25 21:43:05"
66,"MEETINGS, Parade Art Development","2014-09-25 21:43:05"
67,"PREP FOR TL TRAINING","2014-09-25 21:43:05"
68,"NEWSLETTER EDITING  Writing","2014-09-25 21:43:05"
69,"Develop letter to solicit Food Donations for Team leader meetings","2014-09-25 21:43:05"
70,"Phone calls to team leaders for Training Day","2014-09-25 21:43:05"
71,"Built Spreadsheet for team leader training","2014-09-25 21:43:05"
72,"Team Leader Training","2014-09-25 21:43:05"
73,"DEVELOPING BIKE ART DEMOS","2014-09-25 21:43:05"
74,"followup from team leader meeting","2014-09-25 21:43:05"
75,"STAFF MTG","2014-09-25 21:43:05"
76,"DATABASE MTG","2014-09-25 21:43:05"
77,"Preparing materials for Team leaders","2014-09-25 21:43:05"
78,"Novato Drivers Safety Campaign","2014-09-25 21:43:05"
79,"Team leader questions about SchoolPool","2014-09-25 21:43:05"
80,"Equipment storage meeting","2014-09-25 21:43:05"
81,"callsemails tofrom principals, Team leaders","2014-09-25 21:43:05"
82,"Larkspur Superintendent re SchoolPool","2014-09-25 21:43:05"
83,"Training Administrative Assistant  in program procedures, details on schools, team leaders, elements of the program, while setting up new filing systems.","2014-09-25 21:43:05"
84,"Nutrition and Physical Activity meeting","2014-09-25 21:43:05"
85,MOA,"2014-09-25 21:43:05"
