person_organization_id,person_idref,organization_idref,inactive_asof,timestamp
1,1,1,,"2014-09-25 20:35:28"
2,2,1,2013-12-31,"2014-09-25 20:35:28"
3,3,1,,"2014-09-25 20:35:28"
4,4,1,2013-12-31,"2014-09-25 20:35:28"
5,5,1,2013-12-31,"2014-09-25 20:35:28"
6,6,1,2013-12-31,"2014-09-25 20:35:28"
7,7,1,2013-12-31,"2014-09-25 20:35:28"
8,8,1,2013-12-31,"2014-09-25 20:35:28"
9,9,1,2013-12-31,"2014-09-25 20:35:28"
10,10,1,2013-12-31,"2014-09-25 20:35:28"
11,11,1,2013-12-31,"2014-09-25 20:35:28"
12,12,1,2013-12-31,"2014-09-25 20:35:28"
13,13,1,2013-12-31,"2014-09-25 20:35:28"
14,14,1,2013-12-31,"2014-09-25 20:35:28"
15,15,1,2013-12-31,"2014-09-25 20:35:28"
16,16,1,2013-12-31,"2014-09-25 20:35:28"
17,17,1,2013-12-31,"2014-09-25 20:35:28"
18,18,1,2013-12-31,"2014-09-25 20:35:28"
19,19,1,2013-12-31,"2014-09-25 20:35:28"
20,20,1,,"2014-09-25 20:35:28"
21,21,1,2013-12-31,"2014-09-25 20:35:28"
22,22,1,2013-12-31,"2014-09-25 20:35:28"
23,23,1,,"2014-09-25 20:35:28"
24,24,1,,"2014-09-25 20:35:28"
25,25,1,,"2014-09-25 20:35:28"
26,26,1,,"2014-09-25 20:35:28"
27,27,1,2013-12-31,"2014-09-25 20:35:28"
28,28,1,2013-12-31,"2014-09-25 20:35:28"
29,29,1,2013-12-31,"2014-09-25 20:35:28"
30,30,1,,"2014-09-25 20:35:28"
31,31,1,2013-12-31,"2014-09-25 20:35:28"
32,32,1,2013-12-31,"2014-09-25 20:35:28"
33,33,1,,"2014-09-25 20:35:28"
34,34,1,2013-12-31,"2014-09-25 20:35:28"
35,35,1,2013-12-31,"2014-09-25 20:35:28"
36,36,1,2013-12-31,"2014-09-25 20:35:28"
37,37,1,,"2014-09-25 20:35:28"
38,38,1,2013-12-31,"2014-09-25 20:35:28"
39,39,1,2013-12-31,"2014-09-25 20:35:28"
40,40,1,2013-12-31,"2014-09-25 20:35:28"
41,41,1,2013-12-31,"2014-09-25 20:35:28"
42,42,1,2013-12-31,"2014-09-25 20:35:28"
43,43,1,2013-12-03,"2014-09-25 20:35:28"
44,44,1,2013-12-31,"2014-09-25 20:35:28"
45,45,1,2013-12-31,"2014-09-25 20:35:28"
46,46,1,2013-12-31,"2014-09-25 20:35:28"
47,47,1,2013-12-31,"2014-09-25 20:35:28"
48,48,1,2013-12-31,"2014-09-25 20:35:28"
49,49,1,2013-12-31,"2014-09-25 20:35:28"
50,50,1,,"2014-09-25 20:35:28"
51,51,1,,"2014-09-25 20:35:28"
52,52,1,2013-12-31,"2014-09-25 20:35:28"
53,53,1,2013-12-31,"2014-09-25 20:35:28"
54,54,1,2013-12-31,"2014-09-25 20:35:28"
55,55,1,2013-12-31,"2014-09-25 20:35:28"
56,56,1,2013-12-31,"2014-09-25 20:35:28"
57,57,1,,"2014-09-25 20:35:28"
58,58,1,2013-12-31,"2014-09-25 20:35:28"
59,59,1,,"2014-09-25 20:35:28"
60,60,1,,"2014-09-25 20:35:28"
61,61,1,,"2014-09-25 20:35:28"
62,62,1,,"2014-09-25 20:35:28"
