subtask_id,task_idref,name,description,extension,inactive_asof,timestamp
1,1,MG,Management,,,"2014-10-17 23:36:25"
2,1,RP,Reporting,,,"2014-10-17 23:36:25"
3,1,GT,"Grant Preparation",,,"2014-10-17 23:36:25"
4,2,*,"empty subtask for task 1B",,,"2014-10-17 23:36:25"
5,3,*,"empty subtask for task 1C",,,"2014-10-17 23:36:25"
6,4,*,"empty subtask for task 1D",,,"2014-10-17 23:36:25"
7,5,*,"empty subtask for task 1E",,,"2014-10-17 23:36:25"
8,6,*,"empty sutask for task 1F",,,"2014-10-17 23:36:25"
9,8,MT,Meetings,,,"2014-10-17 23:36:25"
10,8,TP,"Travel Plans",,,"2014-10-17 23:36:25"
11,8,WA,"Walk Audit",,,"2014-10-17 23:36:25"
12,9,*,"Institutionalize the Program",,,"2014-10-17 23:36:25"
13,10,ES,"Elementary Schools",class_count,,"2014-10-17 23:36:25"
14,10,MS,"Middle Schools",class_count,,"2014-10-17 23:36:25"
15,10,HS,"High Schools",class_count,,"2014-10-17 23:36:25"
16,10,SC,Scheduling,,,"2014-10-17 23:36:25"
17,10,CD,"Curriculum Development",,,"2014-10-17 23:36:25"
18,10,CM,Communications,,,"2014-10-17 23:36:25"
19,10,EM,"Equipment Maintenance",,,"2014-10-17 23:36:25"
20,11,PD,"Program Development",,,"2014-10-17 23:36:25"
21,11,CN,Contests,,,"2014-10-17 23:36:25"
22,11,EV,"Special Events",,,"2014-10-17 23:36:25"
23,11,CM,Communications,,,"2014-10-17 23:36:25"
24,11,WR,"Walk and Roll Days",,,"2014-10-17 23:36:25"
25,11,VM,"Volunteer Management",,,"2014-10-17 23:36:25"
26,11,MT,Meetings,,,"2014-10-17 23:36:25"
27,12,PD,"Program Development",,,"2014-10-17 23:36:25"
28,12,EV,Events,,,"2014-10-17 23:36:25"
29,12,CN,Contests,,,"2014-10-17 23:36:25"
30,12,MT,Meetings,,,"2014-10-17 23:36:25"
31,12,CM,Communications,,,"2014-10-17 23:36:25"
32,13,*,"Empty Subtask for task 2F",,,"2014-10-17 23:36:25"
33,15,*,"Empty subtask for task 3",,,"2014-10-17 23:36:25"
34,8,CM,Communications,,,"2014-10-17 23:36:25"
35,10,MT,Meetings,,,"2014-10-17 23:36:25"
36,8,CM,Communications,,,"2014-10-17 23:36:25"
37,1,SM,"Staff Management",,,"2014-10-17 23:36:25"
38,10,SM,"Staff Management",,,"2014-10-17 23:36:25"
39,11,SM,"Staff Management",,,"2014-10-17 23:36:25"
40,12,SM,"Staff Management",,,"2014-10-17 23:36:25"
41,8,BL,"Bi Lingual program",,,"2014-10-17 23:36:25"
42,0,*,,,,"2014-10-17 23:36:25"
43,0,*,,,,"2014-10-17 23:36:25"
44,0,*,,,,"2014-10-17 23:36:25"
45,0,*,,,,"2014-10-17 23:36:25"
46,0,*,,,,"2014-10-17 23:36:25"
47,0,*,,,,"2014-10-17 23:36:25"
48,0,*,,,,"2014-10-17 23:36:25"
49,0,*,,,,"2014-10-17 23:36:25"
50,0,*,,,,"2014-10-17 23:36:25"
51,0,*,,,,"2014-10-17 23:36:25"
52,0,*,,,,"2014-10-17 23:36:25"
53,0,*,,,,"2014-10-17 23:36:25"
54,0,*,,,,"2014-10-17 23:36:25"
55,4,MTC,"Spare the Air grant",,,"2014-10-17 23:36:25"
56,18,*,"empty subtask for 9A",,,"2014-10-17 23:36:25"
57,19,*,"empty subtask for 9B",,,"2014-10-17 23:36:25"
58,20,*,"empty subtask for 9C",,,"2014-10-17 23:36:25"
59,21,*,"empty subtask for 9D",,,"2014-10-17 23:36:25"
60,22,*,"empty subtask for 9E",,,"2014-10-17 23:36:25"
61,23,seed,"initial seed subtask - please change",,,"2014-10-17 23:36:25"
62,17,9to5,"From 9AM to 5PM",,,"2014-10-17 23:36:25"
63,24,seed,"initial seed subtask - please change",,,"2014-10-25 01:17:14"
