account_id,accounting_idref,name,description,inactive_asof,timestamp
1,1,21,"Edna Maguire ES",,"2014-10-14 22:00:40"
2,1,42,"San Ramon ES",,"2014-10-14 22:00:40"
3,1,80,"Saint Anselms",,"2014-10-14 22:00:40"
4,1,52,"White Hill MS",,"2014-10-14 22:00:40"
5,1,64,"Sun Valley ES",,"2014-10-14 22:00:40"
6,1,12,Lagunitas,,"2014-10-14 22:00:40"
7,1,51,"Wade Thomas ES",,"2014-10-14 22:00:40"
8,1,AD,"the mechanic",,"2014-10-14 22:00:40"
9,1,46,"Reed ES",,"2014-10-14 22:00:40"
10,1,14,"Neil Cummins ES",,"2014-10-14 22:00:40"
11,1,49,"Brookside ES",,"2014-10-14 22:00:40"
12,1,18,"Marin Horizon",,"2014-10-14 22:00:40"
13,1,30,"Hamilton ES",,"2014-10-14 22:00:40"
14,1,50,"Manor ES",,"2014-10-14 22:00:40"
15,1,60,"Glenwood ES",,"2014-10-14 22:00:40"
16,1,05,"Dixie School",,"2014-10-14 22:00:40"
17,1,48,"Ross School",,"2014-10-14 22:00:40"
18,1,76,"Tamalpais HS",,"2014-10-14 22:00:40"
19,1,34,"Lynwood ES",,"2014-10-14 22:00:40"
20,1,61,"Laurel Dell ES",,"2014-10-14 22:00:40"
21,1,08,"Vallecito ES",,"2014-10-14 22:00:40"
22,1,79,"Marin Waldorf",,"2014-10-14 22:00:40"
23,1,22,"Mill Valley MS",,"2014-10-14 22:00:40"
24,1,63,"San Rafael HS",,"2014-10-14 22:00:40"
25,1,56,"Bahia Vista ES",,"2014-10-14 22:00:40"
26,1,31,"Hill MS",,"2014-10-14 22:00:40"
27,1,78,"St. Patricks",,"2014-10-14 22:00:40"
28,1,73,"Redwood HS",,"2014-10-14 22:00:40"
29,1,75,"Sir Francis Drake HS",,"2014-10-14 22:00:40"
30,1,07,"Mill Creek MS",,"2014-10-14 22:00:40"
31,1,44,"Bel Aire ES",,"2014-10-14 22:00:40"
32,1,26,"Tam Valley",,"2014-10-14 22:00:40"
33,1,39,"Rancho ES",,"2014-10-14 22:00:40"
34,1,00,"Not School Specific",,"2014-10-14 22:00:40"
35,1,01,Bolinas-Stinson,,"2014-10-14 22:00:40"
36,1,02,"Brandeis Hillel",,"2014-10-14 22:00:40"
37,1,03,Branson,,"2014-10-14 22:00:40"
38,1,04,"Cascade Canyon",,"2014-10-14 22:00:40"
39,1,06,"Mary E. Silveira ES",,"2014-10-14 22:00:40"
40,1,09,"Dunham Academy",,"2014-10-14 22:00:40"
41,1,10,"Bacich ES",,"2014-10-14 22:00:40"
42,1,11,"Kent MS",,"2014-10-14 22:00:40"
43,1,13,"Hall MS",,"2014-10-14 22:00:40"
44,1,15,"Marin Academy",,"2014-10-14 22:00:40"
45,1,16,"Marin Catholic",,"2014-10-14 22:00:40"
46,1,17,"Marin Country Day",,"2014-10-14 22:00:40"
47,1,19,"Marin Montessori",,"2014-10-14 22:00:40"
48,1,20,"Marin Primary & Middle",,"2014-10-14 22:00:40"
49,1,23,"Old Mill ES",,"2014-10-14 22:00:40"
50,1,24,"Park ES",,"2014-10-14 22:00:40"
51,1,25,"Strawberry Point",,"2014-10-14 22:00:40"
52,1,27,"Montessori de Terra Linda",,"2014-10-14 22:00:40"
53,1,28,"Mount Tamalpais",,"2014-10-14 22:00:40"
54,1,29,Nicasio,,"2014-10-14 22:00:40"
55,1,32,"Loma Verde ES",,"2014-10-14 22:00:40"
56,1,33,"Lu Sutton ES",,"2014-10-14 22:00:40"
57,1,35,"Marin Oaks HS",,"2014-10-14 22:00:40"
58,1,36,"Novato HS",,"2014-10-14 22:00:40"
59,1,37,"Olive ES",,"2014-10-14 22:00:40"
60,1,38,"Pleasant Valley ES",,"2014-10-14 22:00:40"
61,1,40,"San Jose MS",,"2014-10-14 22:00:40"
62,1,41,"San Marin HS",,"2014-10-14 22:00:40"
63,1,43,"Sinaloa MS",,"2014-10-14 22:00:40"
64,1,45,"Del Mar MS",,"2014-10-14 22:00:40"
65,1,47,"Ring Mountain",,"2014-10-14 22:00:40"
66,1,53,"Sain Hillary",,"2014-10-14 22:00:40"
67,1,54,"Sain Markss",,"2014-10-14 22:00:40"
68,1,55,"San Domenico",,"2014-10-14 22:00:40"
69,1,57,"Coleman ES",,"2014-10-14 22:00:40"
70,1,58,"Davidson MS",,"2014-10-14 22:00:40"
71,1,59,"Gallinas School",,"2014-10-14 22:00:40"
72,1,62,"San Pedro ES",,"2014-10-14 22:00:40"
73,1,65,"Terra Linda HS",,"2014-10-14 22:00:40"
74,1,66,"Bayside ES",,"2014-10-14 22:00:40"
75,1,67,"Martin Luther King Jr. MS",,"2014-10-14 22:00:40"
76,1,68,"Willow Creek ES",,"2014-10-14 22:00:40"
77,1,69,"Tomales ES",,"2014-10-14 22:00:40"
78,1,70,"Tomales HS",,"2014-10-14 22:00:40"
79,1,71,"West Marin School",,"2014-10-14 22:00:40"
80,1,72,"St. Isabella",,"2014-10-14 22:00:40"
81,1,74,"San Andreas HS",,"2014-10-14 22:00:40"
