activity_id,description,timestamp
1,"Michael Feliciano officeemail set-up","2005-07-31 00:00:00"
2,"Filemaker database transition, and TAM insurance endorsmts coord","2005-08-01 00:00:00"
3,"Filemaker database transition, Anti-virus program install, website updates","2005-08-09 00:00:00"
4,"website updates and staff technical support","2005-08-16 00:00:00"
5,"staff technical support and Filemaker database transition meeting","2005-08-23 00:00:00"
6,"reponding to inquiries from the last two months from schools, volunteers, and other agencies requiring information.","2005-08-15 00:00:00"
7,"reponding to inquiries from the last two months from schools, volunteers, and other agencies requiring information.","2005-08-16 00:00:00"
8,"Inventory office supplies, move materials","2005-08-17 00:00:00"
9,"Inventory materials,","2005-08-23 00:00:00"
10,"Set up parks and rec cycling maint workshops, set up safety training 924","2005-08-23 00:00:00"
11,"Write article on canal for newsletter","2005-08-24 00:00:00"
12,"Assist with TL Training","2005-08-27 00:00:00"
13,"Create New class calender","2005-08-25 00:00:00"
14,"Survey new staff, set up personal calender, fill out timesheets","2005-08-29 00:00:00"
15,"Staff Mtg.,","2005-08-31 00:00:00"
16,"Reschelule Bacich Bike Maint Class","2005-08-31 00:00:00"
17,"Schedule staff for classes","2005-08-31 00:00:00"
18,"Inventory materials","2005-08-29 00:00:00"
19,"Insurance Endorsements pages coordination, new timesheet format and billing codes development","2005-07-29 00:00:00"
20,"Michael Feliciano orientation and employee forms coordination","2005-08-01 00:00:00"
21,"timesheet templates revisions, MOA revisions, high school projetcs and Biketoberfest parade planning coordination with staff","2005-08-03 00:00:00"
22,"TAM mtg re MOA, August Team Leader room rental coordination, MOA edits per mtg., Insurance Endorsements pages coordination","2005-08-08 00:00:00"
23,"MOA edits, timesheet template and billing codes refinement","2005-08-17 00:00:00"
24,"contract review and coordination","2005-08-22 00:00:00"
25,"revised timesheet template with Wendi","2005-08-23 00:00:00"
26,"SCHOOLTEAM COMMUNICATIONS","2005-08-15 00:00:00"
27,"WALK TO SCHOOL WEEK PREP","2005-08-15 00:00:00"
28,"REVIEWING YEARS PROJECTS","2005-08-16 00:00:00"
29,INVENTORYDATABASE,"2005-08-17 00:00:00"
30,"CURRICULUM REVIEW","2005-08-17 00:00:00"
31,"WALK TO SCHOOL WEEK","2005-08-18 00:00:00"
32,"ELEMENTARY SAFETY CLASSES","2005-08-18 00:00:00"
33,"NEW TEACHERS LOGISTICS","2005-08-18 00:00:00"
34,"NEXT GENERATIONYOUTH","2005-08-18 00:00:00"
35,TIMESHEETS,"2005-08-18 00:00:00"
36,"WALK TO SCHOOL DAY PREP CLASSES","2005-08-19 00:00:00"
37,DATABASE,"2005-08-19 00:00:00"
38,"NEXT GENERATION MEETING","2005-08-22 00:00:00"
39,"NEW HIGH SCHOOL CLASSES","2005-08-22 00:00:00"
40,"MATERIALS FOR SAFETY ART CLASS","2005-08-23 00:00:00"
41,"OUTREACH MATERIALS FOR WALK TO SCHOOL","2005-08-23 00:00:00"
42,"WALK TO SCHOOL DAY SUPPLIES","2005-08-23 00:00:00"
43,"PARTNERSHIP MEETING ABOUT PARADE","2005-08-24 00:00:00"
44,"MCC CURRICULUM RESEARCH","2005-08-24 00:00:00"
45,"CLASS SCHEDULING","2005-08-25 00:00:00"
46,"INVENTORY CLEAN UP","2005-08-25 00:00:00"
47,"CURRICULUM GUIDE EDITS","2005-08-26 00:00:00"
48,MATERIALSSUPPLIES,"2005-08-26 00:00:00"
49,"TEAM LEADER MEETING","2005-08-26 00:00:00"
50,"RESEARCH ON MIDDLE SCHOOL OUTREACH","2005-08-29 00:00:00"
51,"ELEMENTARY SCHOOL","2005-08-29 00:00:00"
52,"PARADE LEGALITY DOCUMENTS","2005-08-29 00:00:00"
53,"TEAMSCHOOL COMMUNICATIONS","2005-08-30 00:00:00"
54,"SPECIAL EVENT CLASSES","2005-08-30 00:00:00"
55,"REVIEW CURRICULUM","2005-08-30 00:00:00"
56,"STAFF MEETING","2005-08-31 00:00:00"
57,"NEXT GENERATION","2005-08-31 00:00:00"
58,"EXTRA TEACHER COORDINATIONCLASSES","2005-08-31 00:00:00"
59,"PARADE INVITES","2005-08-31 00:00:00"
60,"Training in program procedures, details on schools, team leaders, elements of the program, while setting up new filing systems.","2005-08-01 00:00:00"
