rate_id,person_idref,project_idref,rate,effective_asof,expire_after,timestamp
1,1,1,59.5,2010-07-01,,"2014-10-14 22:14:00"
2,2,1,26.06,2005-01-01,,"2014-10-14 22:14:00"
3,3,1,70,2010-07-01,,"2014-10-14 22:14:00"
4,4,1,42.75,2010-07-01,,"2014-10-14 22:14:00"
5,5,1,26.06,2005-01-01,,"2014-10-14 22:14:00"
6,6,1,26.06,2005-01-01,,"2014-10-14 22:14:00"
7,7,1,33.65,2005-01-01,,"2014-10-14 22:14:00"
8,8,1,35.82,2005-01-01,,"2014-10-14 22:14:00"
9,9,1,43.42,2005-01-01,,"2014-10-14 22:14:00"
10,10,1,26.06,2005-01-01,,"2014-10-14 22:14:00"
11,11,1,41,2010-07-01,,"2014-10-14 22:14:00"
12,12,1,27.5,2010-07-01,,"2014-10-14 22:14:00"
13,13,1,37,2007-07-01,,"2014-10-14 22:14:00"
14,14,1,23.83,2005-01-01,,"2014-10-14 22:14:00"
15,15,1,26,2007-07-01,,"2014-10-14 22:14:00"
16,16,1,35.13,2006-08-01,,"2014-10-14 22:14:00"
17,17,1,28.79,2007-07-01,,"2014-10-14 22:14:00"
18,18,1,34.5,2010-07-01,,"2014-10-14 22:14:00"
19,19,1,27.5,2010-07-01,,"2014-10-14 22:14:00"
20,20,1,27.5,2010-07-01,,"2014-10-14 22:14:00"
21,21,1,27.5,2007-07-01,,"2014-10-14 22:14:00"
22,22,1,30,2010-07-01,,"2014-10-14 22:14:00"
23,23,1,43.55,2007-08-15,,"2014-10-14 22:14:00"
24,24,1,31,2009-10-29,,"2014-10-14 22:14:00"
25,25,1,43,2010-07-01,,"2014-10-14 22:14:00"
26,26,1,31,2010-07-01,,"2014-10-14 22:14:00"
27,27,1,31.25,2008-01-01,,"2014-10-14 22:14:00"
28,28,1,28.5,2008-03-15,,"2014-10-14 22:14:00"
29,29,1,28.5,2008-03-15,,"2014-10-14 22:14:00"
30,30,1,45,2010-07-01,,"2014-10-14 22:14:00"
31,31,1,26,2008-03-15,,"2014-10-14 22:14:00"
32,32,1,27.5,2010-07-01,,"2014-10-14 22:14:00"
33,33,1,28.5,2010-07-01,,"2014-10-14 22:14:00"
34,34,1,27.5,2010-07-01,,"2014-10-14 22:14:00"
35,35,1,27.5,2010-07-01,,"2014-10-14 22:14:00"
36,36,1,27.5,2010-07-01,,"2014-10-14 22:14:00"
37,37,1,38.35,2010-08-15,,"2014-10-14 22:14:00"
38,38,1,33,2010-08-15,,"2014-10-14 22:14:00"
39,39,1,27.5,2010-08-15,,"2014-10-14 22:14:00"
40,40,1,27.5,2010-08-15,,"2014-10-14 22:14:00"
41,41,1,27.5,2010-08-15,,"2014-10-14 22:14:00"
42,42,1,27.5,2010-08-15,,"2014-10-14 22:14:00"
43,43,1,27.5,2010-08-15,,"2014-10-14 22:14:00"
44,44,1,27.5,2010-09-15,,"2014-10-14 22:14:00"
45,45,1,41,2011-11-01,,"2014-10-14 22:14:00"
46,46,1,18,2012-04-01,,"2014-10-14 22:14:00"
47,47,1,18,2012-04-01,,"2014-10-14 22:14:00"
48,48,1,22.5,2012-08-01,,"2014-10-14 22:14:00"
49,49,1,22.5,2012-08-01,,"2014-10-14 22:14:00"
50,50,1,28.5,2012-09-15,,"2014-10-14 22:14:00"
51,51,1,35.5,2013-02-06,,"2014-10-14 22:14:00"
52,52,1,28.5,2013-03-13,,"2014-10-14 22:14:00"
53,53,1,28.5,2013-03-01,,"2014-10-14 22:14:00"
54,54,1,28.5,2013-03-01,,"2014-10-14 22:14:00"
55,55,1,28.5,2013-03-01,,"2014-10-14 22:14:00"
56,56,1,28.5,2013-03-01,,"2014-10-14 22:14:00"
57,57,1,29.5,2013-10-01,,"2014-10-14 22:14:00"
58,58,1,28.5,2013-10-01,,"2014-10-14 22:14:00"
59,59,1,28.5,2014-04-01,,"2014-10-14 22:14:00"
60,60,1,78,2014-09-01,,"2014-10-14 22:14:00"
61,61,1,30,2014-09-01,,"2014-10-14 22:14:00"
62,62,1,28.5,2014-09-15,,"2014-10-14 22:14:00"
63,0,1,0,2012-10-14,,"2014-10-14 22:14:00"
64,63,1,500,2014-01-01,,"2014-10-14 22:35:32"
65,37,2,41,2014-09-01,,"2014-10-14 23:08:34"
