person_organization_id,person_idref,organization_idref,inactive_asof,timestamp
1,1,1,,"2014-10-14 22:13:55"
2,2,1,2014-01-23,"2014-10-14 22:13:55"
3,3,1,,"2014-10-14 22:13:55"
4,4,1,2014-01-23,"2014-10-14 22:13:55"
5,5,1,2014-01-23,"2014-10-14 22:13:55"
6,6,1,2014-01-23,"2014-10-14 22:13:55"
7,7,1,2014-01-23,"2014-10-14 22:13:55"
8,8,1,2014-01-23,"2014-10-14 22:13:55"
9,9,1,2014-01-23,"2014-10-14 22:13:55"
10,10,1,2014-01-23,"2014-10-14 22:13:55"
11,11,1,2014-01-23,"2014-10-14 22:13:55"
12,12,1,2014-01-23,"2014-10-14 22:13:55"
13,13,1,2014-01-23,"2014-10-14 22:13:55"
14,14,1,2014-01-23,"2014-10-14 22:13:55"
15,15,1,2014-01-23,"2014-10-14 22:13:55"
16,16,1,2014-01-23,"2014-10-14 22:13:55"
17,17,1,2014-01-23,"2014-10-14 22:13:55"
18,18,1,2014-01-23,"2014-10-14 22:13:55"
19,19,1,2014-01-23,"2014-10-14 22:13:55"
20,20,1,,"2014-10-14 22:13:55"
21,21,1,2014-01-23,"2014-10-14 22:13:55"
22,22,1,2014-01-23,"2014-10-14 22:13:55"
23,23,1,,"2014-10-14 22:13:55"
24,24,1,,"2014-10-14 22:13:55"
25,25,1,,"2014-10-14 22:13:55"
26,26,1,,"2014-10-14 22:13:55"
27,27,1,2014-01-23,"2014-10-14 22:13:55"
28,28,1,2014-01-23,"2014-10-14 22:13:55"
29,29,1,2014-01-23,"2014-10-14 22:13:55"
30,30,1,,"2014-10-14 22:13:55"
31,31,1,2014-01-23,"2014-10-14 22:13:55"
32,32,1,2014-01-23,"2014-10-14 22:13:55"
33,33,1,,"2014-10-14 22:13:55"
34,34,1,2014-01-23,"2014-10-14 22:13:55"
35,35,1,2014-01-23,"2014-10-14 22:13:55"
36,36,1,2014-01-23,"2014-10-14 22:13:55"
37,37,1,,"2014-10-14 22:13:55"
38,38,1,2014-01-23,"2014-10-14 22:13:55"
39,39,1,2014-01-23,"2014-10-14 22:13:55"
40,40,1,2014-01-23,"2014-10-14 22:13:55"
41,41,1,2014-01-23,"2014-10-14 22:13:55"
42,42,1,2014-01-23,"2014-10-14 22:13:55"
43,43,1,2014-01-23,"2014-10-14 22:13:55"
44,44,1,2014-01-23,"2014-10-14 22:13:55"
45,45,1,2014-01-23,"2014-10-14 22:13:55"
46,46,1,2014-01-23,"2014-10-14 22:13:55"
47,47,1,2014-01-23,"2014-10-14 22:13:55"
48,48,1,2014-01-23,"2014-10-14 22:13:55"
49,49,1,2014-01-23,"2014-10-14 22:13:55"
50,50,1,,"2014-10-14 22:13:55"
51,51,1,2014-01-23,"2014-10-14 22:13:55"
52,52,1,2014-01-23,"2014-10-14 22:13:55"
53,53,1,2014-01-23,"2014-10-14 22:13:55"
54,54,1,2014-01-23,"2014-10-14 22:13:55"
55,55,1,2014-01-23,"2014-10-14 22:13:55"
56,56,1,2014-01-23,"2014-10-14 22:13:55"
57,57,1,,"2014-10-14 22:13:55"
58,58,1,2014-01-23,"2014-10-14 22:13:55"
59,59,1,,"2014-10-14 22:13:55"
60,60,1,2014-01-23,"2014-10-14 22:13:55"
61,61,1,,"2014-10-14 22:13:55"
62,62,1,,"2014-10-14 22:13:55"
63,63,1,,"2014-10-14 22:33:59"
