event_id,project_idref,name,description,budget,inactive_asof,timestamp
1,1,010,"Stop Look and Listen",0,,"2015-06-20 23:49:34"
2,1,020,"Walk Around the Block",0,,"2015-06-20 23:49:34"
3,1,030,"Bike Safety",0,,"2015-06-20 23:49:34"
4,1,040,"Traffic Safety",0,,"2015-06-20 23:49:34"
5,1,050,"Bicycle Rodeo",0,,"2015-06-20 23:49:34"
6,1,060,"Bike Skills",0,,"2015-06-20 23:49:34"
7,1,070,"Bike Drills",0,,"2015-06-20 23:49:34"
8,1,080,"Poster Art",0,,"2015-06-20 23:49:34"
9,1,090,Assembly,0,,"2015-06-20 23:49:34"
10,1,100,"Green Classes",0,,"2015-06-20 23:49:34"
11,1,110,"Family Biking",0,,"2015-06-20 23:49:34"
12,1,120,Presentations,0,,"2015-06-20 23:49:34"
13,1,130,"Bicycle Field Trips",0,,"2015-06-20 23:49:34"
14,1,140,"Organize Teen Clubs",0,,"2015-06-20 23:49:34"
