subtask_id,task_idref,name,description,extension,inactive_asof,timestamp
1,1,MG,Management,,,"2014-07-29 20:42:41"
2,1,RP,Reporting,,,"2014-07-29 20:42:41"
3,1,GT,"Grant Preparation",,,"2014-07-29 20:42:41"
4,2,*,"empty subtask for task 1B",,,"2014-07-29 20:42:41"
5,3,*,"empty subtask for task 1C",,,"2014-07-29 20:42:41"
6,4,*,"empty subtask for task 1D",,,"2014-07-29 20:42:41"
7,5,*,"empty subtask for task 1E",,,"2014-07-29 20:42:41"
8,6,*,"empty sutask for task 1F",,,"2014-07-29 20:42:41"
9,8,MT,Meetings,,,"2014-07-29 20:42:41"
10,8,TP,"Travel Plans",,,"2014-07-29 20:42:41"
11,8,WA,"Walk Audit",,,"2014-07-29 20:42:41"
12,9,*,"Institutionalize the Program",,,"2014-07-29 20:42:41"
13,10,ES,"Elementary Schools",,,"2014-07-29 20:42:41"
14,10,MS,"Middle Schools",,,"2014-07-29 20:42:41"
15,10,HS,"High Schools",,,"2014-07-29 20:42:41"
16,10,SC,Scheduling,,,"2014-07-29 20:42:41"
17,10,CD,"Curriculum Development",,,"2014-07-29 20:42:41"
18,10,CM,Communications,,,"2014-07-29 20:42:41"
19,10,EM,"Equipment Maintenance",,,"2014-07-29 20:42:41"
20,11,PD,"Program Development",,,"2014-07-29 20:42:41"
21,11,CN,Contests,,,"2014-07-29 20:42:41"
22,11,EV,"Special Events",,,"2014-07-29 20:42:41"
23,11,CM,Communications,,,"2014-07-29 20:42:41"
24,11,WR,"Walk and Roll Days",,,"2014-07-29 20:42:41"
25,11,VM,"Volunteer Management",,,"2014-07-29 20:42:41"
26,11,MT,Meetings,,,"2014-07-29 20:42:41"
27,12,PD,"Program Development",,,"2014-07-29 20:42:41"
28,12,EV,Events,,,"2014-07-29 20:42:41"
29,12,CN,Contests,,,"2014-07-29 20:42:41"
30,12,MT,Meetings,,,"2014-07-29 20:42:41"
31,12,CM,Communications,,,"2014-07-29 20:42:41"
32,13,*,"Empty Subtask for task 2F",,,"2014-07-29 20:42:41"
33,15,*,"Empty subtask for task 3",,,"2014-07-29 20:42:41"
34,8,CM,Communications,,,"2014-07-29 20:42:41"
35,10,MT,Meetings,,,"2014-07-29 20:42:41"
36,8,CM,Communications,,,"2014-07-29 20:42:41"
37,1,SM,"Staff Management",,,"2014-07-29 20:42:41"
38,10,SM,"Staff Management",,,"2014-07-29 20:42:41"
39,11,SM,"Staff Management",,,"2014-07-29 20:42:41"
40,12,SM,"Staff Management",,,"2014-07-29 20:42:41"
41,0,*,*,,,"2014-07-29 20:42:41"
42,0,*,*,,,"2014-07-29 20:42:41"
43,0,*,*,,,"2014-07-29 20:42:41"
44,0,*,*,,,"2014-07-29 20:42:41"
45,0,*,*,,,"2014-07-29 20:42:41"
46,0,*,*,,,"2014-07-29 20:42:41"
47,0,*,*,,,"2014-07-29 20:42:41"
48,0,*,*,,,"2014-07-29 20:42:41"
49,0,*,*,,,"2014-07-29 20:42:41"
50,0,*,*,,,"2014-07-29 20:42:41"
51,0,*,*,,,"2014-07-29 20:42:41"
52,0,*,*,,,"2014-07-29 20:42:41"
53,0,*,*,,,"2014-07-29 20:42:41"
54,0,*,*,,,"2014-07-29 20:42:41"
55,4,MTC," Spare the Air grant",,,"2014-07-29 20:42:41"
56,18,*,"empty subtask for 9A",,,"2014-07-29 20:42:41"
57,19,*,"empty subtask for 9B",,,"2014-07-29 20:42:41"
58,20,*,"empty subtask for 9C",,,"2014-07-29 20:42:41"
59,21,*,"empty subtask for 9D",,,"2014-07-29 20:42:41"
60,22,*,"empty subtask for 9E",,,"2014-07-29 20:42:41"
