account_id,accounting_idref,name,description,inactive_asof,timestamp
1,1,21,"Edna Maguire ES",,"2014-07-29 20:42:41"
2,1,42,"San Ramon ES",,"2014-07-29 20:42:41"
3,1,80,"Saint Anselms",,"2014-07-29 20:42:41"
4,1,52,"White Hill MS",,"2014-07-29 20:42:41"
5,1,64,"Sun Valley ES",,"2014-07-29 20:42:42"
6,1,12,Lagunitas,,"2014-07-29 20:42:42"
7,1,51,"Wade Thomas ES",,"2014-07-29 20:42:42"
8,1,AD,"the mechanic?",,"2014-07-29 20:42:42"
9,1,46,"Reed ES",,"2014-07-29 20:42:42"
10,1,14,"Neil Cummins ES",,"2014-07-29 20:42:42"
11,1,49,"Brookside ES",,"2014-07-29 20:42:42"
12,1,18,"Marin Horizon",,"2014-07-29 20:42:42"
13,1,30,"Hamilton ES",,"2014-07-29 20:42:42"
14,1,50,"Manor ES",,"2014-07-29 20:42:42"
15,1,60,"Glenwood ES",,"2014-07-29 20:42:42"
16,1,05,"Dixie School",,"2014-07-29 20:42:42"
17,1,48,"Ross School",,"2014-07-29 20:42:42"
18,1,76,"Tamalpais HS",,"2014-07-29 20:42:42"
19,1,34,"Lynwood ES",,"2014-07-29 20:42:42"
20,1,61,"Laurel Dell ES",,"2014-07-29 20:42:42"
21,1,08,"Vallecito ES",,"2014-07-29 20:42:42"
22,1,79,"Marin Waldorf",,"2014-07-29 20:42:42"
23,1,22,"Mill Valley MS",,"2014-07-29 20:42:42"
24,1,63,"San Rafael HS",,"2014-07-29 20:42:42"
25,1,56,"Bahia Vista ES",,"2014-07-29 20:42:42"
26,1,31,"Hill MS",,"2014-07-29 20:42:42"
27,1,78,"St. Patricks",,"2014-07-29 20:42:42"
28,1,73,"Redwood HS",,"2014-07-29 20:42:42"
29,1,75,"Sir Francis Drake HS",,"2014-07-29 20:42:42"
30,1,07,"Mill Creek MS",,"2014-07-29 20:42:42"
31,1,44,"Bel Aire ES",,"2014-07-29 20:42:42"
32,1,26,"Tam Valley",,"2014-07-29 20:42:42"
33,1,39,"Rancho ES",,"2014-07-29 20:42:42"
34,1,00,"Not School Specific",,"2014-07-29 20:42:42"
35,1,01,Bolinas-Stinson,,"2014-07-29 20:42:42"
36,1,02,"Brandeis Hillel",,"2014-07-29 20:42:42"
37,1,03,Branson,,"2014-07-29 20:42:42"
38,1,04,"Cascade Canyon",,"2014-07-29 20:42:42"
39,1,06,"Mary E. Silveira ES",,"2014-07-29 20:42:42"
40,1,09,"Dunham Academy",,"2014-07-29 20:42:42"
41,1,10,"Bacich ES",,"2014-07-29 20:42:42"
42,1,11,"Kent MS",,"2014-07-29 20:42:42"
43,1,13,"Hall MS",,"2014-07-29 20:42:42"
44,1,15,"Marin Academy",,"2014-07-29 20:42:42"
45,1,16,"Marin Catholic",,"2014-07-29 20:42:42"
