rate_id,person_idref,project_idref,rate,effective_asof,expire_after,timestamp
1,1,1,59.5,2010-07-01,,"2014-07-29 20:52:23"
2,2,1,26.06,2005-01-01,,"2014-07-29 20:52:23"
3,3,1,70,2010-07-01,,"2014-07-29 20:52:23"
4,4,1,42.75,2010-07-01,,"2014-07-29 20:52:23"
5,5,1,26.06,2005-01-01,,"2014-07-29 20:52:23"
6,6,1,26.06,2005-01-01,,"2014-07-29 20:52:23"
7,7,1,33.65,2005-01-01,,"2014-07-29 20:52:23"
8,8,1,35.82,2005-01-01,,"2014-07-29 20:52:23"
9,9,1,43.42,2005-01-01,,"2014-07-29 20:52:23"
10,10,1,26.06,2005-01-01,,"2014-07-29 20:52:23"
11,11,1,41,2010-07-01,,"2014-07-29 20:52:23"
12,12,1,27.5,2010-07-01,,"2014-07-29 20:52:23"
13,13,1,37,2007-07-01,,"2014-07-29 20:52:23"
14,14,1,23.83,2005-01-01,,"2014-07-29 20:52:23"
15,15,1,26,2007-07-01,,"2014-07-29 20:52:23"
16,16,1,35.13,2006-08-01,,"2014-07-29 20:52:23"
17,17,1,28.79,2007-07-01,,"2014-07-29 20:52:23"
18,18,1,34.5,2010-07-01,,"2014-07-29 20:52:23"
19,19,1,27.5,2010-07-01,,"2014-07-29 20:52:23"
20,20,1,27.5,2010-07-01,,"2014-07-29 20:52:23"
21,21,1,27.5,2007-07-01,,"2014-07-29 20:52:23"
22,22,1,30,2010-07-01,,"2014-07-29 20:52:23"
23,23,1,43.55,2007-08-15,,"2014-07-29 20:52:23"
24,24,1,31,2009-10-29,,"2014-07-29 20:52:23"
25,25,1,43,2010-07-01,,"2014-07-29 20:52:23"
26,26,1,31,2010-07-01,,"2014-07-29 20:52:23"
27,27,1,31.25,2008-01-01,,"2014-07-29 20:52:23"
28,28,1,28.5,2008-03-15,,"2014-07-29 20:52:23"
29,29,1,28.5,2008-03-15,,"2014-07-29 20:52:23"
30,30,1,45,2010-07-01,,"2014-07-29 20:52:23"
31,31,1,26,2008-03-15,,"2014-07-29 20:52:23"
32,32,1,27.5,2010-07-01,,"2014-07-29 20:52:23"
33,33,1,28.5,2010-07-01,,"2014-07-29 20:52:23"
34,34,1,27.5,2010-07-01,,"2014-07-29 20:52:23"
35,35,1,27.5,2010-07-01,,"2014-07-29 20:52:23"
36,36,1,27.5,2010-07-01,,"2014-07-29 20:52:23"
37,37,1,38.35,2010-08-15,,"2014-07-29 20:52:23"
38,38,1,33,2010-08-15,,"2014-07-29 20:52:23"
39,39,1,27.5,2010-08-15,,"2014-07-29 20:52:23"
40,40,1,27.5,2010-08-15,,"2014-07-29 20:52:23"
41,41,1,27.5,2010-08-15,,"2014-07-29 20:52:23"
42,42,1,27.5,2010-08-15,,"2014-07-29 20:52:23"
43,43,1,27.5,2010-08-15,,"2014-07-29 20:52:23"
44,44,1,27.5,2010-09-15,,"2014-07-29 20:52:23"
45,45,1,41,2011-11-01,,"2014-07-29 20:52:23"
46,46,1,18,2012-04-01,,"2014-07-29 20:52:23"
47,47,1,18,2012-04-01,,"2014-07-29 20:52:23"
48,48,1,22.5,2012-08-01,,"2014-07-29 20:52:23"
49,49,1,22.5,2012-08-01,,"2014-07-29 20:52:23"
50,50,1,28.5,2012-09-15,,"2014-07-29 20:52:23"
51,51,1,35.5,2013-02-06,,"2014-07-29 20:52:23"
52,52,1,28.5,2013-03-13,,"2014-07-29 20:52:23"
53,53,1,28.5,2013-03-01,,"2014-07-29 20:52:23"
54,54,1,28.5,2013-03-01,,"2014-07-29 20:52:23"
55,55,1,28.5,2013-03-01,,"2014-07-29 20:52:23"
56,56,1,28.5,2013-03-01,,"2014-07-29 20:52:23"
57,57,1,29.5,2013-10-01,,"2014-07-29 20:52:23"
58,58,1,28.5,2013-10-01,,"2014-07-29 20:52:23"
59,59,1,43.55,2014-04-01,,"2014-07-29 20:52:23"
60,59,1,28.5,2012-07-29,,"2014-07-29 20:52:23"
